colony_id,prot_ug.mL,prot_ug.cm2,prot_mg.cm2
OFAV_PS_9GT35,571.9922359,1148.660828,1.148660828
OFAV_PS_9GT4,117.7412649,921.2499226,0.921249923
OFAV_PS_9GT46,433.3874524,980.1727977,0.980172798
OFAV_PS_9IR44,258.0931675,870.5880938,0.870588094
OFAV_PS_9JQ4,326.8131862,1140.83559,1.14083559
OFAV_PS_9JQ42,518.4139162,1371.148791,1.371148791
OFAV_PS_9JQ431,498.6132329,1732.035955,1.732035955
OFAV_PS_9JQ53,396.1155779,1274.242764,1.274242764
OFAV_PS_AZ,350.6904808,1242.121463,1.242121463
OFAV_PS_CX,262.1697787,1558.177553,1.558177553
OFAV_PS_DW,149.7717821,640.9938191,0.640993819
OFAV_PS_EV,433.3874524,1395.720403,1.395720403
OFRA_PP_0CX4,264.4992709,622.5685518,0.622568552
OFRA_PP_0CX5,165.4958542,521.4281362,0.521428136
OFRA_PP_0GT1,274.3996126,611.5678089,0.611567809
OFRA_PP_0GT5,235.3806189,552.298315,0.552298315
OFRA_PP_1GT37_P1,132.3005909,389.4985558,0.389498556
OFRA_PP_1GT37_P2,251.104691,607.1181927,0.607118193
OFRA_PP_1GT42_P2,326.2308131,878.8390112,0.878839011
OFRA_PP_2CX12_P1,428.7284681,1029.751472,1.029751472
OFRA_PP_2CX12_P2,382.720998,986.2832124,0.986283212
OFRA_PP_2GT10,217.9094277,576.3940736,0.576394074
OFRA_PP_2GT38,268.5758822,849.2165598,0.84921656
OFRA_PP_2GT3_P1,247.6104528,1135.908895,1.135908895
OFRA_PP_2GT3_P2,326.8131862,1162.576206,1.162576206
OFRA_PP_2GT41_P1,342.5372582,598.398422,0.598398422
OFRA_PP_2GT41_P2,223.1507851,341.5692732,0.341569273
OFRA_PP_2GT7_P1,277.3114778,854.3033798,0.85430338
OFRA_PP_2GT7_P2,408.3454117,1149.472055,1.149472055
OFRA_PP_2HS11,75.81040603,212.0722268,0.212072227
OFRA_PP_2HS17_P1,270.3230013,793.4877593,0.793487759
OFRA_PP_2HS17_P2,195.1968792,439.1165303,0.43911653
OFRA_PP_2HS27,354.184719,743.2703123,0.743270312
OFRA_PP_2HS9_P1,252.2694371,514.3774777,0.514377478
OFRA_PP_2HS9_P2,166.6606002,487.6214791,0.487621479
OFRA_PP_4CX12,181.8022993,638.4817706,0.638481771
OFRA_PP_4HS15,189.3731488,540.3089459,0.540308946
OFRA_PP_6EV18,126.4768605,368.7481828,0.368748183
OFRA_PP_6GT17,178.308061,588.0422013,0.588042201
OFRA_PP_8CX24,156.7602586,322.4637406,0.322463741
OFRA_PP_8HS21,315.1657254,720.7675953,0.720767595
OFRA_PP_8HS23,374.5677754,794.1131774,0.794113177
OFRA_PP_8HS24,309.924368,1154.311969,1.154311969
OFRA_PP_9CX5_P1,135.7948291,360.2749214,0.360274921
OFRA_PP_9CX5_P2,275.5643587,469.4580036,0.469458004
OFRA_PP_9GT30_P1,313.4186062,453.2925322,0.453292532
OFRA_PP_9GT30_P2,250.522318,508.3995034,0.508399503
