"colony_id","CALICE","MEASUREMENT","value","species","treatment","recovered"
"OFAV_PP_357","C4","W",0,"OFAV","PP","p"
"OFAV_PP_357","C2","A",0.107,"OFAV","PP","p"
"OFAV_PP_357","C2","CW",0.268,"OFAV","PP","p"
"OFAV_PP_357","C3","H",0.375,"OFAV","PP","p"
"OFAV_PP_357","C1","CH",0.256,"OFAV","PP","p"
"OFAV_PP_357","C2","CH",0.263,"OFAV","PP","p"
"OFAV_PP_357","C2","CA",0.059,"OFAV","PP","p"
"OFAV_PP_357","C3","A",0.0003432,"OFAV","PP","p"
"OFAV_PP_357","C3","CA",0.0002203,"OFAV","PP","p"
"OFAV_PP_357","C5","W",0.413,"OFAV","PP","p"
"OFAV_PP_357","C3","CH",0.239,"OFAV","PP","p"
"OFAV_PP_357","C5","H",0.391,"OFAV","PP","p"
"OFAV_PP_357","C5","CH",0.241,"OFAV","PP","p"
"OFAV_PP_357","C4","H",0.327,"OFAV","PP","p"
"OFAV_PP_357","C2","H",0.434,"OFAV","PP","p"
"OFAV_PP_357","C3","W",0,"OFAV","PP","p"
"OFAV_PP_357","C3","CW",0,"OFAV","PP","p"
"OFAV_PP_357","C1","CW",0.215,"OFAV","PP","p"
"OFAV_PP_357","C5","CW",0.234,"OFAV","PP","p"
"OFAV_PP_357","C1","W",0.323,"OFAV","PP","p"
"OFAV_PP_358","C3","W",0.366,"OFAV","PP","p"
"OFAV_PP_358","C3","CH",0.241,"OFAV","PP","p"
"OFAV_PP_358","C1","H",0.32,"OFAV","PP","p"
"OFAV_PP_358","C3","CW",0.195,"OFAV","PP","p"
"OFAV_PP_358","C2","A",0.12,"OFAV","PP","p"
"OFAV_PP_358","C2","CA",0.049,"OFAV","PP","p"
"OFAV_PP_358","C2","CH",0.242,"OFAV","PP","p"
"OFAV_PP_358","C1","W",0.371,"OFAV","PP","p"
"OFAV_PP_358","C1","CW",0.204,"OFAV","PP","p"
"OFAV_PP_358","C2","H",0.355,"OFAV","PP","p"
"OFAV_PP_358","C3","H",0.429,"OFAV","PP","p"
"OFAV_PP_358","C5","CW",0.263,"OFAV","PP","p"
"OFAV_PP_358","C1","CA",0.035,"OFAV","PP","p"
"OFAV_PP_358","C1","CH",0.178,"OFAV","PP","p"
"OFAV_PP_358","C4","CH",0.197,"OFAV","PP","p"
"OFAV_PP_358","C2","CW",0.266,"OFAV","PP","p"
"OFAV_PP_358","C4","H",0.374,"OFAV","PP","p"
"OFAV_PP_358","C2","W",0.374,"OFAV","PP","p"
"OFAV_PP_358","C5","H",0.362,"OFAV","PP","p"
"OFAV_PP_358","C3","A",0.112,"OFAV","PP","p"
"OFAV_PP_358","C1","A",0.081,"OFAV","PP","p"
"OFAV_PP_358","C4","CW",0.207,"OFAV","PP","p"
"OFAV_PP_358","C3","CA",0.043,"OFAV","PP","p"
"OFAV_PP_358","C5","CH",0.234,"OFAV","PP","p"
"OFAV_PP_358","C4","W",0.348,"OFAV","PP","p"
"OFAV_PP_358","C5","CA",0.055,"OFAV","PP","p"
"OFAV_PP_358","C4","A",0.095,"OFAV","PP","p"
"OFAV_PP_358","C5","W",0.407,"OFAV","PP","p"
"OFAV_PP_358","C5","A",0.114,"OFAV","PP","p"
"OFAV_PP_358","C4","CA",0.037,"OFAV","PP","p"
"OFAV_PP_359","C2","CA",0.032,"OFAV","PP","p"
"OFAV_PP_359","C4","CH",0.273,"OFAV","PP","p"
"OFAV_PP_359","C3","A",0.136,"OFAV","PP","p"
"OFAV_PP_359","C2","A",0.1,"OFAV","PP","p"
"OFAV_PP_359","C1","H",0.327,"OFAV","PP","p"
"OFAV_PP_359","C4","W",0.436,"OFAV","PP","p"
"OFAV_PP_359","C4","CW",0.272,"OFAV","PP","p"
"OFAV_PP_359","C1","CH",0.234,"OFAV","PP","p"
"OFAV_PP_359","C3","CW",0.24,"OFAV","PP","p"
"OFAV_PP_359","C4","H",0.384,"OFAV","PP","p"
"OFAV_PP_359","C5","W",0.41,"OFAV","PP","p"
"OFAV_PP_359","C2","CW",0.197,"OFAV","PP","p"
"OFAV_PP_359","C5","H",0.389,"OFAV","PP","p"
"OFAV_PP_359","C5","CH",0.245,"OFAV","PP","p"
"OFAV_PP_359","C1","CW",0.253,"OFAV","PP","p"
"OFAV_PP_359","C2","H",0.359,"OFAV","PP","p"
"OFAV_PP_359","C2","W",0.374,"OFAV","PP","p"
"OFAV_PP_359","C1","CA",0.059,"OFAV","PP","p"
