"2021-07-26";"08:55:44";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:Depth"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM ";""
"2021-07-25 10:52:53.000";"2021-07-25";"10:52:53";"F";"52";"251";"288";"94";"26.0";"0.128";"5.1";"-";"0.84";"3.9"
"2021-07-25 10:53:01.000";"2021-07-25";"10:53:01";"F";"53";"287";"696";"92";"27.0";"0.588";"22.7";"-";"0.84";"3.8"
"2021-07-25 10:53:06.000";"2021-07-25";"10:53:06";"F";"54";"220";"289";"91";"26.0";"0.239";"9.1";"-";"0.84";"3.8"
"2021-07-25 10:53:12.000";"2021-07-25";"10:53:12";"F";"55";"246";"732";"91";"26.0";"0.664";"25.4";"-";"0.84";"3.9"
"2021-07-25 10:53:19.000";"2021-07-25";"10:53:19";"F";"56";"204";"552";"89";"27.0";"0.630";"23.5";"-";"0.84";"3.8"
"2021-07-25 10:53:28.000";"2021-07-25";"10:53:28";"F";"57";"300";"875";"87";"27.0";"0.657";"24.0";"-";"0.84";"3.8"
"2021-07-25 10:53:36.000";"2021-07-25";"10:53:36";"F";"58";"346";"1017";"78";"27.0";"0.660";"21.6";"-";"0.84";"3.9"
"2021-07-25 10:53:44.000";"2021-07-25";"10:53:44";"F";"59";"315";"946";"71";"27.0";"0.667";"19.9";"-";"0.84";"3.8"
"2021-07-25 10:53:49.000";"2021-07-25";"10:53:49";"F";"60";"352";"872";"81";"27.0";"0.596";"20.3";"-";"0.84";"3.9"
"2021-07-25 10:53:59.000";"2021-07-25";"10:53:59";"F";"61";"260";"792";"86";"27.0";"0.672";"24.3";"-";"0.84";"3.9"
"2021-07-25 10:54:07.000";"2021-07-25";"10:54:07";"F";"62";"298";"923";"87";"27.0";"0.677";"24.7";"-";"0.84";"3.9"
"2021-07-25 10:54:14.000";"2021-07-25";"10:54:14";"F";"63";"283";"643";"90";"27.0";"0.560";"21.2";"-";"0.84";"3.9"
"2021-07-25 10:54:20.000";"2021-07-25";"10:54:20";"F";"64";"267";"811";"92";"27.0";"0.671";"25.9";"-";"0.84";"3.9"
"2021-07-25 10:54:29.000";"2021-07-25";"10:54:29";"F";"65";"329";"869";"113";"27.0";"0.621";"29.5";"-";"0.84";"3.8"
"2021-07-25 10:54:41.000";"2021-07-25";"10:54:41";"F";"66";"291";"377";"127";"27.0";"0.228";"12.2";"-";"0.84";"3.8"
"2021-07-25 10:54:47.000";"2021-07-25";"10:54:47";"F";"67";"260";"551";"133";"27.0";"0.528";"29.5";"-";"0.84";"3.8"
"2021-07-25 10:54:54.000";"2021-07-25";"10:54:54";"F";"68";"197";"246";"137";"27.0";"0.199";"11.5";"-";"0.84";"3.8"
"2021-07-25 10:55:03.000";"2021-07-25";"10:55:03";"F";"69";"145";"306";"137";"26.0";"0.526";"30.3";"-";"0.84";"3.8"
"2021-07-25 10:55:27.998";"2021-07-25";"10:55:27";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=5;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-25 10:55:28.000";"2021-07-25";"10:55:28";"F";"71";"319";"850";"30";"27.0";"0.625";"7.9";"-";"0.84";"3.8"
"2021-07-25 10:55:34.000";"2021-07-25";"10:55:34";"F";"72";"279";"716";"29";"27.0";"0.610";"7.4";"-";"0.84";"3.8"
"2021-07-25 10:55:39.000";"2021-07-25";"10:55:39";"F";"73";"372";"796";"29";"27.0";"0.533";"6.5";"-";"0.84";"3.8"
"2021-07-25 10:55:45.000";"2021-07-25";"10:55:45";"F";"74";"279";"845";"30";"27.0";"0.670";"8.4";"-";"0.84";"3.9"
"2021-07-25 10:55:50.000";"2021-07-25";"10:55:50";"F";"75";"267";"680";"32";"27.0";"0.607";"8.2";"-";"0.84";"3.8"
"2021-07-25 10:55:56.000";"2021-07-25";"10:55:56";"F";"76";"242";"626";"35";"27.0";"0.613";"9.0";"-";"0.84";"3.8"
"2021-07-25 10:56:03.000";"2021-07-25";"10:56:03";"F";"77";"262";"733";"37";"27.0";"0.643";"10.0";"-";"0.84";"3.8"
"2021-07-25 10:56:10.000";"2021-07-25";"10:56:10";"F";"78";"316";"820";"38";"27.0";"0.615";"9.8";"-";"0.84";"3.8"
"2021-07-25 10:56:15.000";"2021-07-25";"10:56:15";"F";"79";"285";"872";"40";"27.0";"0.673";"11.3";"-";"0.84";"3.9"
"2021-07-25 10:56:20.000";"2021-07-25";"10:56:20";"F";"80";"261";"677";"40";"27.0";"0.614";"10.3";"-";"0.84";"3.9"
"2021-07-25 10:56:26.000";"2021-07-25";"10:56:26";"F";"81";"263";"745";"40";"27.0";"0.647";"10.9";"-";"0.84";"3.9"
"2021-07-25 10:56:32.000";"2021-07-25";"10:56:32";"F";"82";"260";"540";"40";"27.0";"0.519";"8.7";"-";"0.84";"3.9"
"2021-07-25 10:56:39.000";"2021-07-25";"10:56:39";"F";"83";"248";"738";"39";"27.0";"0.664";"10.9";"-";"0.84";"3.8"
"2021-07-25 10:56:44.000";"2021-07-25";"10:56:44";"F";"84";"198";"544";"39";"27.0";"0.636";"10.4";"-";"0.84";"3.9"
"2021-07-25 10:56:50.000";"2021-07-25";"10:56:50";"F";"85";"235";"668";"39";"27.0";"0.648";"10.6";"-";"0.84";"3.9"
"2021-07-25 10:56:58.000";"2021-07-25";"10:56:58";"F";"86";"351";"1112";"37";"27.0";"0.684";"10.6";"-";"0.84";"3.8"
"2021-07-25 10:57:04.000";"2021-07-25";"10:57:04";"F";"87";"338";"925";"37";"27.0";"0.635";"9.9";"-";"0.84";"3.8"
"2021-07-25 10:57:10.000";"2021-07-25";"10:57:10";"F";"88";"291";"745";"38";"27.0";"0.609";"9.7";"-";"0.84";"3.9"
"2021-07-25 10:57:16.000";"2021-07-25";"10:57:16";"F";"89";"309";"720";"39";"27.0";"0.571";"9.4";"-";"0.84";"3.9"
"2021-07-25 10:57:22.000";"2021-07-25";"10:57:22";"F";"90";"317";"976";"39";"27.0";"0.675";"11.1";"-";"0.84";"3.8"
"2021-07-25 10:57:28.000";"2021-07-25";"10:57:28";"F";"91";"349";"934";"36";"27.0";"0.626";"9.5";"-";"0.84";"3.9"
"2021-07-25 10:57:34.000";"2021-07-25";"10:57:34";"F";"92";"330";"892";"33";"27.0";"0.630";"8.7";"-";"0.84";"3.8"
"2021-07-25 10:57:42.000";"2021-07-25";"10:57:42";"F";"93";"286";"906";"30";"27.0";"0.684";"8.6";"-";"0.84";"3.9"
"2021-07-25 10:57:49.000";"2021-07-25";"10:57:49";"F";"94";"210";"590";"31";"27.0";"0.644";"8.4";"-";"0.84";"3.9"
"2021-07-25 10:57:54.000";"2021-07-25";"10:57:54";"F";"95";"261";"694";"37";"26.0";"0.624";"9.7";"-";"0.84";"3.9"
"2021-07-25 10:58:03.000";"2021-07-25";"10:58:03";"F";"96";"305";"826";"38";"27.0";"0.631";"10.1";"-";"0.84";"3.9"
"2021-07-25 10:58:09.000";"2021-07-25";"10:58:09";"F";"97";"326";"764";"35";"27.0";"0.573";"8.4";"-";"0.84";"3.8"
"2021-07-25 10:58:14.000";"2021-07-25";"10:58:14";"F";"98";"324";"947";"36";"27.0";"0.658";"9.9";"-";"0.84";"3.8"
