"2021-07-22";"10:26:42";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"2021-07-20 21:09:11.000";"2021-07-20";"21:09:11";"F";"1240";"322";"979";"1";"0.671";"0.3"
"2021-07-20 21:09:20.000";"2021-07-20";"21:09:20";"F";"1241";"346";"1080";"1";"0.680";"0.3"
"2021-07-20 21:09:28.000";"2021-07-20";"21:09:28";"F";"1242";"310";"971";"1";"0.681";"0.3"
"2021-07-20 21:09:49.000";"2021-07-20";"21:09:49";"F";"1243";"405";"1289";"0";"0.686";"0.0"
"2021-07-20 21:10:08.000";"2021-07-20";"21:10:08";"F";"1244";"355";"1158";"0";"0.693";"0.0"
"2021-07-20 21:10:25.000";"2021-07-20";"21:10:25";"F";"1245";"392";"1229";"0";"0.681";"0.0"
"2021-07-20 21:10:39.000";"2021-07-20";"21:10:39";"F";"1246";"459";"1482";"0";"0.690";"0.0"
"2021-07-20 21:10:48.000";"2021-07-20";"21:10:48";"F";"1247";"376";"1331";"1";"0.718";"0.3"
"2021-07-20 21:10:56.000";"2021-07-20";"21:10:56";"F";"1248";"399";"883";"1";"0.548";"0.2"
"2021-07-20 21:11:07.000";"2021-07-20";"21:11:07";"F";"1249";"299";"977";"1";"0.694";"0.3"
"2021-07-20 21:11:34.000";"2021-07-20";"21:11:34";"F";"1250";"495";"1592";"0";"0.689";"0.0"
"2021-07-20 21:11:41.000";"2021-07-20";"21:11:41";"F";"1251";"325";"1047";"1";"0.690";"0.3"
"2021-07-20 21:11:48.000";"2021-07-20";"21:11:48";"F";"1252";"331";"997";"1";"0.668";"0.3"
"2021-07-20 21:11:54.000";"2021-07-20";"21:11:54";"F";"1253";"354";"1147";"1";"0.691";"0.3"
"2021-07-20 21:12:00.000";"2021-07-20";"21:12:00";"F";"1254";"331";"1007";"1";"0.671";"0.3"
"2021-07-20 21:12:06.000";"2021-07-20";"21:12:06";"F";"1255";"361";"1172";"1";"0.692";"0.3"
"2021-07-20 21:12:12.000";"2021-07-20";"21:12:12";"F";"1256";"367";"1145";"1";"0.679";"0.3"
"2021-07-20 21:12:52.000";"2021-07-20";"21:12:52";"F";"1257";"666";"2018";"0";"0.670";"0.0"
"2021-07-20 21:13:02.000";"2021-07-20";"21:13:02";"F";"1258";"502";"1368";"1";"0.633";"0.3"
"2021-07-21 15:07:31.998";"2021-07-21";"15:07:31";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=8;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
