"colony_id","CALICE","MEASUREMENT","value","depth","act_depth","species","site"
"15MC5T","C5","W",0.55,15,15,"MCAV","Turrumote"
"15MC5T","C2","A",0.206,15,15,"MCAV","Turrumote"
"15MC5T","C1","CW",0.793,15,15,"MCAV","Turrumote"
"15MC5T","C3","A",0.216,15,15,"MCAV","Turrumote"
"15MC5T","C3","CA",0.453,15,15,"MCAV","Turrumote"
"15MC5T","C4","A",0.187,15,15,"MCAV","Turrumote"
"15MC5T","C4","CA",0.459,15,15,"MCAV","Turrumote"
"15MC5T","C4","W",0.565,15,15,"MCAV","Turrumote"
"15MC5T","C4","H",0.405,15,15,"MCAV","Turrumote"
"15MC5T","C1","CH",0.876,15,15,"MCAV","Turrumote"
"15MC5T","C5","CH",0.725,15,15,"MCAV","Turrumote"
"15MC5T","C2","CA",0.42,15,15,"MCAV","Turrumote"
"15MC5T","C4","CW",0.873,15,15,"MCAV","Turrumote"
"15MC5T","C5","H",0.426,15,15,"MCAV","Turrumote"
"15MC5T","C2","CW",0.675,15,15,"MCAV","Turrumote"
"15MC5T","C1","H",0.548,15,15,"MCAV","Turrumote"
"15OFA1AT","C2","A",0.088,15,15,"OFAV","Turrumote"
"15OFA1AT","C2","CA",0.044,15,15,"OFAV","Turrumote"
"15OFA1AT","C3","A",0.086,15,15,"OFAV","Turrumote"
"15OFA1AT","C5","CW",0.231,15,15,"OFAV","Turrumote"
"15OFA1AT","C5","H",0.339,15,15,"OFAV","Turrumote"
"15OFA1AT","C5","CH",0.252,15,15,"OFAV","Turrumote"
"15OFA1AT","C5","W",0.305,15,15,"OFAV","Turrumote"
"15OFA1AT","C5","A",0.078,15,15,"OFAV","Turrumote"
"15OFA1AT","C3","CA",0.046,15,15,"OFAV","Turrumote"
"15OFA1AT","C4","A",0.086,15,15,"OFAV","Turrumote"
"15OFA1AT","C4","CA",0.049,15,15,"OFAV","Turrumote"
"15OFA1AT","C1","CA",0.037,15,15,"OFAV","Turrumote"
"15OFA1AT","C4","W",0.354,15,15,"OFAV","Turrumote"
"15OFA1AT","C4","CW",0.255,15,15,"OFAV","Turrumote"
"15OFA1AT","C3","CH",0.244,15,15,"OFAV","Turrumote"
"15OFA1AT","C1","H",0.324,15,15,"OFAV","Turrumote"
"15OFA1AT","C2","CW",0.25,15,15,"OFAV","Turrumote"
"15OFA1AT","C3","H",0.304,15,15,"OFAV","Turrumote"
"15OFA1AT","C5","CA",0.046,15,15,"OFAV","Turrumote"
"15OFA1AT","C3","W",0.327,15,15,"OFAV","Turrumote"
"15OFA1AT","C3","CW",0.245,15,15,"OFAV","Turrumote"
"15OFA1AT","C4","H",0.306,15,15,"OFAV","Turrumote"
"15OFA1AT","C2","CH",0.23,15,15,"OFAV","Turrumote"
"15OFA1AT","C1","A",0.075,15,15,"OFAV","Turrumote"
"15OFA1AT","C1","CH",0.206,15,15,"OFAV","Turrumote"
"15OFA1AT","C4","CH",0.24,15,15,"OFAV","Turrumote"
"15OFA1AT","C1","W",0.312,15,15,"OFAV","Turrumote"
"15OFA1AT","C1","CW",0.22,15,15,"OFAV","Turrumote"
"15OFA1AT","C2","H",0.289,15,15,"OFAV","Turrumote"
"15OFA1AT","C2","W",0.369,15,15,"OFAV","Turrumote"
"15OFA1ML","C3","CW",0.269,15,23,"OFAV","Media Luna"
"15OFA1ML","C2","W",0.393,15,23,"OFAV","Media Luna"
"15OFA1ML","C3","W",0.405,15,23,"OFAV","Media Luna"
"15OFA1ML","C2","CH",0.281,15,23,"OFAV","Media Luna"
"15OFA1ML","C3","CH",0.266,15,23,"OFAV","Media Luna"
"15OFA1ML","C1","H",0.376,15,23,"OFAV","Media Luna"
"15OFA1ML","C2","CW",0.283,15,23,"OFAV","Media Luna"
"15OFA1ML","C2","H",0.386,15,23,"OFAV","Media Luna"
"15OFA1ML","C4","H",0.381,15,23,"OFAV","Media Luna"
"15OFA1ML","C2","CA",0.052,15,23,"OFAV","Media Luna"
