SENSOR,Date,Time,S_LightRaw,S_LightCrrx,S_Light_Int_10m
12081,2021-02-08,09:10:00,1441,188.9151,0.11334906
12081,2021-02-08,09:20:00,1539,201.7629,0.12105774
12081,2021-02-08,09:30:00,1635,214.3485,0.1286091
12081,2021-02-08,09:40:00,1710,224.181,0.1345086
12081,2021-02-08,09:50:00,1492,195.6012,0.11736072
12081,2021-02-08,10:00:00,2067,270.9837,0.16259022
12081,2021-02-08,10:10:00,2179,285.6669,0.17140014
12081,2021-02-08,10:20:00,2295,300.8745,0.1805247
12081,2021-02-08,10:30:00,2403,315.0333,0.18901998
12081,2021-02-08,10:40:00,2494,326.9634,0.19617804
12081,2021-02-08,10:50:00,2597,340.4667,0.20428002
12081,2021-02-08,11:00:00,2704,354.4944,0.21269664
12081,2021-02-08,11:10:00,2782,364.7202,0.21883212
12081,2021-02-08,11:20:00,2628,344.5308,0.20671848
12081,2021-02-08,11:30:00,2905,380.8455,0.2285073
12081,2021-02-08,11:40:00,2908,381.2388,0.22874328
12081,2021-02-08,11:50:00,3050,399.855,0.239913
12081,2021-02-08,12:00:00,3068,402.2148,0.24132888
12081,2021-02-08,12:10:00,2818,369.4398,0.22166388
12081,2021-02-08,12:20:00,2975,390.0225,0.2340135
12081,2021-02-08,12:30:00,3055,400.5105,0.2403063
12081,2021-02-08,12:40:00,3208,420.5688,0.25234128
12081,2021-02-08,12:50:00,3141,411.7851,0.24707106
12081,2021-02-08,13:00:00,3223,422.5353,0.25352118
12081,2021-02-08,13:10:00,3189,418.0779,0.25084674
12081,2021-02-08,13:20:00,3219,422.0109,0.25320654
12081,2021-02-08,13:30:00,3170,415.587,0.2493522
12081,2021-02-08,13:40:00,3208,420.5688,0.25234128
12081,2021-02-08,13:50:00,3160,414.276,0.2485656
12081,2021-02-08,14:00:00,3205,420.1755,0.2521053
12081,2021-02-08,14:10:00,2936,384.9096,0.23094576
12081,2021-02-08,14:20:00,2478,324.8658,0.19491948
12081,2021-02-08,14:30:00,2457,322.1127,0.19326762
12081,2021-02-08,14:40:00,2710,355.281,0.2131686
12081,2021-02-08,14:50:00,1144,149.9784,0.08998704
12081,2021-02-08,15:00:00,740,97.014,0.0582084
12081,2021-02-08,15:10:00,675,88.4925,0.0530955
12081,2021-02-08,15:20:00,543,71.1873,0.04271238
12081,2021-02-08,15:30:00,386,50.6046,0.03036276
12081,2021-02-08,15:40:00,253,33.1683,0.01990098
12081,2021-02-08,15:50:00,235,30.8085,0.0184851
12081,2021-02-08,16:00:00,199,26.0889,0.01565334
12081,2021-02-08,16:10:00,191,25.0401,0.01502406
12081,2021-02-08,16:20:00,203,26.6133,0.01596798
12081,2021-02-08,16:30:00,237,31.0707,0.01864242
12081,2021-02-08,16:40:00,263,34.4793,0.02068758
12081,2021-02-08,16:50:00,294,38.5434,0.02312604
12081,2021-02-08,17:00:00,364,47.7204,0.02863224
12081,2021-02-08,17:10:00,454,59.5194,0.03571164
12081,2021-02-08,17:20:00,512,67.1232,0.04027392
12081,2021-02-08,17:30:00,477,62.5347,0.03752082
12081,2021-02-08,17:40:00,541,70.9251,0.04255506
12081,2021-02-08,17:50:00,503,65.9433,0.03956598
12081,2021-02-08,18:00:00,389,50.9979,0.03059874
12081,2021-02-08,18:10:00,262,34.3482,0.02060892
12081,2021-02-08,18:20:00,207,27.1377,0.01628262
12081,2021-02-08,18:30:00,212,27.7932,0.01667592
12081,2021-02-08,18:40:00,139,18.2229,0.01093374
12081,2021-02-08,18:50:00,65,8.5215,0.0051129
12081,2021-02-08,19:00:00,24,3.1464,0.00188784
12081,2021-02-08,19:10:00,3,0.3933,0.00023598
12081,2021-02-08,19:20:00,0,0,0
12081,2021-02-08,19:30:00,0,0,0
12081,2021-02-08,19:40:00,0,0,0
12081,2021-02-08,19:50:00,0,0,0
12081,2021-02-08,20:00:00,0,0,0
12081,2021-02-08,20:10:00,0,0,0
12081,2021-02-08,20:20:00,0,0,0
12081,2021-02-08,20:30:00,0,0,0
12081,2021-02-08,20:40:00,0,0,0
12081,2021-02-08,20:50:00,0,0,0
12081,2021-02-08,21:00:00,0,0,0
12081,2021-02-08,21:10:00,0,0,0
12081,2021-02-08,21:20:00,0,0,0
12081,2021-02-08,21:30:00,0,0,0
12081,2021-02-08,21:40:00,0,0,0
12081,2021-02-08,21:50:00,0,0,0
12081,2021-02-08,22:00:00,0,0,0
12081,2021-02-08,22:10:00,0,0,0
12081,2021-02-08,22:20:00,0,0,0
12081,2021-02-08,22:30:00,0,0,0
12081,2021-02-08,22:40:00,0,0,0
12081,2021-02-08,22:50:00,0,0,0
12081,2021-02-08,23:00:00,0,0,0
12081,2021-02-08,23:10:00,0,0,0
12081,2021-02-08,23:20:00,0,0,0
12081,2021-02-08,23:30:00,0,0,0
12081,2021-02-08,23:40:00,0,0,0
12081,2021-02-08,23:50:00,0,0,0
12081,2021-02-08,24:00:00,0,0,0
12081,2021-03-08,00:10:00,0,0,0
12081,2021-03-08,00:20:00,0,0,0
12081,2021-03-08,00:30:00,0,0,0
12081,2021-03-08,00:40:00,0,0,0
12081,2021-03-08,00:50:00,0,0,0
12081,2021-03-08,01:00:00,0,0,0
12081,2021-03-08,01:10:00,0,0,0
12081,2021-03-08,01:20:00,0,0,0
12081,2021-03-08,01:30:00,0,0,0
12081,2021-03-08,01:40:00,0,0,0
12081,2021-03-08,01:50:00,0,0,0
12081,2021-03-08,02:00:00,0,0,0
12081,2021-03-08,02:10:00,0,0,0
12081,2021-03-08,02:20:00,0,0,0
12081,2021-03-08,02:30:00,0,0,0
12081,2021-03-08,02:40:00,0,0,0
12081,2021-03-08,02:50:00,0,0,0
12081,2021-03-08,03:00:00,0,0,0
12081,2021-03-08,03:10:00,0,0,0
12081,2021-03-08,03:20:00,0,0,0
