SENSOR,Date,Time,LightRaw,LightCrrx,Light_int_10m,depth,y,m,d
12080,2/8/21,09:00:00,175,42.07,0.025242,deep,2021,8,2
12080,2/8/21,09:10:00,193,46.3972,0.02783832,deep,2021,8,2
12080,2/8/21,09:20:00,212,50.9648,0.03057888,deep,2021,8,2
12080,2/8/21,09:30:00,235,56.494,0.0338964,deep,2021,8,2
12080,2/8/21,09:40:00,251,60.3404,0.03620424,deep,2021,8,2
12080,2/8/21,09:50:00,267,64.1868,0.03851208,deep,2021,8,2
12080,2/8/21,10:00:00,285,68.514,0.0411084,deep,2021,8,2
12080,2/8/21,10:10:00,306,73.5624,0.04413744,deep,2021,8,2
12080,2/8/21,10:20:00,323,77.6492,0.04658952,deep,2021,8,2
12080,2/8/21,10:30:00,341,81.9764,0.04918584,deep,2021,8,2
12080,2/8/21,10:40:00,355,85.342,0.0512052,deep,2021,8,2
12080,2/8/21,10:50:00,370,88.948,0.0533688,deep,2021,8,2
12080,2/8/21,11:00:00,369,88.7076,0.05322456,deep,2021,8,2
12080,2/8/21,11:10:00,391,93.9964,0.05639784,deep,2021,8,2
12080,2/8/21,11:20:00,422,101.4488,0.06086928,deep,2021,8,2
12080,2/8/21,11:30:00,457,109.8628,0.06591768,deep,2021,8,2
12080,2/8/21,11:40:00,484,116.3536,0.06981216,deep,2021,8,2
12080,2/8/21,11:50:00,477,114.6708,0.06880248,deep,2021,8,2
12080,2/8/21,12:00:00,473,113.7092,0.06822552,deep,2021,8,2
12080,2/8/21,12:10:00,472,113.4688,0.06808128,deep,2021,8,2
12080,2/8/21,12:20:00,490,117.796,0.0706776,deep,2021,8,2
12080,2/8/21,12:30:00,482,115.8728,0.06952368,deep,2021,8,2
12080,2/8/21,12:40:00,487,117.0748,0.07024488,deep,2021,8,2
12080,2/8/21,12:50:00,484,116.3536,0.06981216,deep,2021,8,2
12080,2/8/21,13:00:00,477,114.6708,0.06880248,deep,2021,8,2
12080,2/8/21,13:10:00,474,113.9496,0.06836976,deep,2021,8,2
12080,2/8/21,13:20:00,477,114.6708,0.06880248,deep,2021,8,2
12080,2/8/21,13:30:00,468,112.5072,0.06750432,deep,2021,8,2
12080,2/8/21,13:40:00,448,107.6992,0.06461952,deep,2021,8,2
12080,2/8/21,13:50:00,446,107.2184,0.06433104,deep,2021,8,2
12080,2/8/21,14:00:00,448,107.6992,0.06461952,deep,2021,8,2
12080,2/8/21,14:10:00,417,100.2468,0.06014808,deep,2021,8,2
12080,2/8/21,14:20:00,345,82.938,0.0497628,deep,2021,8,2
12080,2/8/21,14:30:00,358,86.0632,0.05163792,deep,2021,8,2
12080,2/8/21,14:40:00,382,91.8328,0.05509968,deep,2021,8,2
12080,2/8/21,14:50:00,161,38.7044,0.02322264,deep,2021,8,2
12080,2/8/21,15:00:00,104,25.0016,0.01500096,deep,2021,8,2
12080,2/8/21,15:10:00,92,22.1168,0.01327008,deep,2021,8,2
12080,2/8/21,15:20:00,71,17.0684,0.01024104,deep,2021,8,2
12080,2/8/21,15:30:00,48,11.5392,0.00692352,deep,2021,8,2
12080,2/8/21,15:40:00,33,7.9332,0.00475992,deep,2021,8,2
12080,2/8/21,15:50:00,36,8.6544,0.00519264,deep,2021,8,2
12080,2/8/21,16:00:00,29,6.9716,0.00418296,deep,2021,8,2
12080,2/8/21,16:10:00,25,6.01,0.003606,deep,2021,8,2
12080,2/8/21,16:20:00,27,6.4908,0.00389448,deep,2021,8,2
12080,2/8/21,16:30:00,33,7.9332,0.00475992,deep,2021,8,2
12080,2/8/21,16:40:00,36,8.6544,0.00519264,deep,2021,8,2
12080,2/8/21,16:50:00,39,9.3756,0.00562536,deep,2021,8,2
12080,2/8/21,17:00:00,52,12.5008,0.00750048,deep,2021,8,2
12080,2/8/21,17:10:00,63,15.1452,0.00908712,deep,2021,8,2
12080,2/8/21,17:20:00,67,16.1068,0.00966408,deep,2021,8,2
