,colony_id,species,treatment,recovered,airbrush_volume,surface_area,A,CA,D,di,Cdi,chla.ug.cm2,chlc2.ug.cm2,sym.cm2,prot_mg.cm2,Host_AFDW_mg.cm2,Sym_AFDW_mg.cm2,chla.sym,full_treatment
44,OFAV_PS_2HS48,OFAV,PS,p,16.5,4.445682451,0.1174,0.047,8.651,0.4231,0.2415,5.57907594,1.471317975,124.488761,0.942773854,4.360972745,8.907518798,0.044815901,OFAV_PS
45,OFAV_PS_2HS6,OFAV,PS,p,12.5,6.284122563,0.1248,0.0494,9.892,0.4153,0.2389,4.647675504,1.465449219,154.1583555,1.055524747,3.978280142,7.757646276,0.03014871,OFAV_PS
46,OFAV_PS_310,OFAV,PS,p,18,5.465181058,0.1292,0.0486,8.274,0.4322,0.2254,4.11266338,1.202897018,153.8832824,1.187633993,3.787614679,6.916513762,0.026725862,OFAV_PS
47,OFAV_PS_313,OFAV,PS,p,15,5.621169916,0.108,0.0392,9.207,0.3739,0.2068,3.576324022,1.315562438,107.4805914,0.937365866,3.40231665,4.803270565,0.033274138,OFAV_PS
48,OFAV_PS_352,OFAV,PS,p,20,5.300835655,0.0936,0.0458,9.635,0.3638,0.2332,4.992766246,1.542209669,98.33355228,1.277008642,4.244613767,11.69626905,0.050773781,OFAV_PS
49,OFAV_PS_356,OFAV,PS,p,23,5.802228412,0.151,0.056,6.752,0.4708,0.246,5.138591799,1.387794383,101.0818531,1.196219082,6.342390783,10.30638502,0.050835948,OFAV_PS
50,OFAV_PS_357,OFAV,PS,p,13,5.690807799,0.1158,0.0544,7.839,0.4079,0.2402,3.672016769,0.881144677,124.1182901,0.735924454,3.255249633,7.766911405,0.029584816,OFAV_PS
51,OFAV_PS_359,OFAV,PS,p,15,4.142061281,0.1036,0.05,8.086,0.3844,0.2436,5.234772865,1.583088601,72.27681573,0.637286209,4.526731675,10.13987895,0.072426722,OFAV_PS
52,OFAV_PS_360,OFAV,PS,p,16,5.222841226,0.0882,0.031,12.918,0.3425,0.1949,3.42824896,0.764488107,95.22275554,0.758546368,3.599573333,6.739626666,0.036002413,OFAV_PS
53,OFAV_PS_362,OFAV,PS,p ,14,5,0.0988,0.043,10.293,0.3909,0.2152,5.24013,1.15892,119.3111111,0.673741534,3.5,11.48,0.043919883,OFAV_PS
