"","bag_number","depth","act_depth","species","colony_number","site","colony_id","airbrush_volume","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","sym.cm2","W","H","CW","CH","A","CA","di","Cdi","A.CA","D","chla.ug.cm2","chlc2.ug.cm2"
"52","353",45,48,"MCAV",2,"Media Luna","45MC2ML","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6104352731597,1.7731048468276
"53","364",45,40,"MCAV",3,"Media Luna","45MC3ML","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48411208362683,0.722845509924804
"54","368",45,42,"MCAV",4,"Media Luna","45MC4ML","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.87518934132671,1.03633279153293
"55","369",45,45,"MCAV",5,"Media Luna","45MC5ML","20",NA,NA,11.9852484479629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.40480094136646,1.09003427449017
"56","164",55,59,"MCAV",1,"Media Luna","55MC1ML","39",NA,NA,37.9186639106628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95425128222239,2.71239509362192
"57","166",55,55,"MCAV",2,"Media Luna","55MC2ML","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.333633467612,0.758302767515981
"58","176",55,64,"MCAV",3,"Media Luna","55MC3ML","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63625859118463,1.33435337985034
"59","177",55,63,"MCAV",4,"Media Luna","55MC4ML","23",NA,NA,12.2039181363826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51732985296163,0.91717497372488
"60","181",55,63,"MCAV",5,"Media Luna","55MC5ML","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52735150865947,0.556978137252094
"61","140",15,23,"OFAV",1,"Media Luna","15OFA1ML","22",6.5568301885778,11.6234716979334,209.123144660787,0.4154,0.3816,0.2894,0.2706,0.1254,0.0596,0.3985,0.28,2.10402684563758,8.283,6.8660691759944,1.55896088676833
"62","144",15,21,"OFAV",2,"Media Luna","15OFA2ML","26.5",2.81622366882552,6.16604761174429,97.8267169170969,0.3574,0.41,0.2392,0.2752,0.1154,0.048,0.3837,0.2572,2.40416666666667,8.718,4.59706517617897,0.904600686886428
"63","145",15,22,"OFAV",3,"Media Luna","15OFA3ML","13.5",2.83103316079611,5.37610337605727,76.6380694033696,0.406,0.418,0.2554,0.2628,0.1398,0.0516,0.412,0.2591,2.7093023255814,8.74,3.16048153824876,0.790287196280419
"64","148",15,24,"OFAV",4,"Media Luna","15OFA4ML","9",2.7953476983952,5.2742409403683,61.7965230144657,0.3144,0.4386,0.2362,0.2974,0.1204,0.0536,0.3765,0.2668,2.24626865671642,9.701,5.50599987768965,1.20569147896819
"65","150",15,24,"OFAV",5,"Media Luna","15OFA5ML","18",2.89028625484988,5.84857924510799,97.8163544333748,0.3524,0.3736,0.2114,0.2258,0.11,0.0384,0.363,0.2186,2.86458333333333,7.705,5.47874728350212,1.58176865886008
