bag_number,date_collected,depth,act_depth,species,colony_number,site,colony_id,RI_status,NOTES,airbrush_date,airbrush_volume,airbrush_initials,aliquot_date,aliquot_initials,chl_box,host_PTAC_box,sym_PTAC_box,sym_density_box,ash_bag,skeleton_dry_date,skeleton_dry_initials,,,,,,
42,8/10/21,45,42,CNAT,4,Turrumote,45CN4T,Y,,6/19/23,19.0,HLE,6/19/23,HLE,,,,,,,,,,,,,
43,8/10/21,45,44,CNAT,5,Turrumote,45CN5T,Y,,6/20/23,29.0,HLE,6/20/23,HLE,,,,,,,,,,,,,
45,8/10/21,45,47,CNAT,6,Turrumote,45CN6T,Y,,6/20/23,38.0,HLE,6/20/23,HLE,,,,,,,,,,,,,
50,8/10/21,45,44,CNAT,7,Turrumote,45CN7T,Y,,6/29/23,17.5,HLE,6/29/23,HLE,,,,,,,,,,,,,
66,8/12/21,55,53,CNAT,1,Turrumote,55CN1T,Y,,6/28/23,26.0,HLE,6/28/23,HLE,,,,,,,,,,,,,
67,8/12/21,55,53,CNAT,2,Turrumote,55CN2T,Y,,6/29/23,16.0,HLE,6/29/23,HLE,,,,,,,,,,,,,
80,8/12/21,55,53,CNAT,3,Turrumote,55CN3T,Y,,6/20/23,16.0,HLE,6/20/23,HLE,,,,,,,,,,,,,
81,8/12/21,55,53,CNAT,4,Turrumote,55CN4T,Y,,6/19/23,37.0,HLE,6/19/23,HLE,,,,,,,,,,,,,
84,8/12/21,55,55,CNAT,5,Turrumote,55CN5T,Y,,6/20/23,20.0,HLE,6/20/23,HLE,,,,,,,,,,,,,
87,8/12/21,55,53,CNAT,6,Turrumote,55CN6T,Y,,6/28/23,15.0,HLE,6/28/23,HLE,,,,,,,,,,,,,
139,18-Aug,15,14,MCAV,1,Media Luna,15MC1ML,Y,,6/19/23,13.5,HLE,6/19/23,HLE,,,,,MCAV,,,,,,,,
146,18-Aug,15,22,MCAV,2,Media Luna,15MC2ML,Y,,6/12/23,15.0,HLE,6/12/23,HLE,,,,,MCAV,,,,,,,,
149,18-Aug,15,24,MCAV,3,Media Luna,15MC3ML,Y,,6/12/23,21.0,HLE,6/12/23,HLE,,,,,MCAV,,,,,,,,
153,18-Aug,15,21,MCAV,4,Media Luna,15MC4ML,Y,,6/12/23,25.0,HLE,6/12/23,HLE,,,,,MCAV,,,,,,,,
155,18-Aug,15,25,MCAV,5,Media Luna,15MC5ML,Y,,6/12/23,25.0,HLE,6/12/23,HLE,,,,,MCAV,,,,,,,,
142,18-Aug,30,25,MCAV,1,Media Luna,30MC1ML,Y,,6/19/23,21.0,HLE,6/19/23,HLE,,,,,MCAV,,,,,,,,
210,8/23/21,30,34,MCAV,2,Media Luna,30MC2ML,Y,,6/6/23,35.0,HLE,6/6/23,HLE,,,,,MCAV,,,,,,,,
214,8/23/21,30,29,MCAV,3,Media Luna,30MC3ML,Y,,6/9/23,37.0,WD,6/9/23,WD,,,,,MCAV,,,,,,,,
321,8/23/21,30,34,MCAV,4,Media Luna,30MC4ML,Y,,6/6/23,19.0,HLE,6/6/23,HLE,,,,,MCAV,,,,,,,,
318,8/23/21,30,31,MCAV,5,Media Luna,30MC5ML,Y,,6/19/23,17.0,HLE,6/19/23,HLE,,,,,MCAV,,,,,,,,
339,8/23/21,45,48,MCAV,1,Media Luna,45MC1ML,Y,,6/12/23,35.0,HLE,6/12/23,HLE,,,,,MCAV,,,,,,,,
353,8/23/21,45,48,MCAV,2,Media Luna,45MC2ML,Y,,6/19/23,23.0,HLE,6/19/23,HLE,,,,,MCAV,,,,,,,,
364,8/24/21,45,40,MCAV,3,Media Luna,45MC3ML,Y,,6/19/23,22.0,HLE,6/19/23,HLE,,,,,MCAV,,,,,,,,
368,8/24/21,45,42,MCAV,4,Media Luna,45MC4ML,Y,,6/19/23,20.0,HLE,6/19/23,HLE,,,,,MCAV,,,,,,,,
369,8/24/21,45,45,MCAV,5,Media Luna,45MC5ML,Y,,6/19/23,20.0,HLE,6/19/23,HLE,,,,,MCAV,,,,,,,,
164,18-Aug,55,59,MCAV,1,Media Luna,55MC1ML,Y,,6/9/23,39.0,WD,6/9/23,WD,,,,,MCAV,,,,,,,,
166,18-Aug,55,55,MCAV,2,Media Luna,55MC2ML,Y,,6/19/23,19.0,HLE,6/19/23,HLE,,,,,MCAV,,,,,,,,
176,8/19/21,55,64,MCAV,3,Media Luna,55MC3ML,Y,,6/6/23,21.0,HLE,6/6/23,HLE,,,,,MCAV,,,,,,,,
177,8/19/21,55,63,MCAV,4,Media Luna,55MC4ML,Y,,6/6/23,23.0,HLE,6/6/23,HLE,,,,,MCAV,,,,,,,,
181,8/19/21,55,63,MCAV,5,Media Luna,55MC5ML,Y,,6/12/23,25.0,HLE,6/12/23,HLE,,,,,MCAV,,,,,,,,
71,8/12/21,15,16,MCAV,1,Turrumote,15MC1T,Y,,6/5/23,17.0,HLE,6/5/23,HLE,,,,,MCAV,,,,,,,,
258,8/20/21,15,18,MCAV,2,Turrumote,15MC2T,Y,,6/1/23,37.0,WD,6/1/23,WD,,,,,MCAV,,,,,,,,
206,8/20/21,15,15,MCAV,3,Turrumote,15MC3T,Y,,6/5/23,18.5,HLE,6/5/23,HLE,,,,,MCAV,,,,,,,,
207,8/20/21,15,16,MCAV,4,Turrumote,15MC4T,Y,,6/2/23,23.0,HLE,6/2/23,HLE,,,,,MCAV,,,,,,,,
261,8/20/21,15,15,MCAV,5,Turrumote,15MC5T,Y,,6/2/23,15.5,HLE,6/2/23,HLE,,,,,MCAV,,,,,,,,
98/ PAN 88,8/12/21,30,31,MCAV,1,Turrumote,30MC1T,Y,,6/6/23,23.0,HLE,6/6/23,HLE,,,,,MCAV,,,,,,,,
122,8/17/21,30,31,MCAV,2,Turrumote,30MC2T,Y,,6/1/23,15.0,WD,6/1/23,WD,,,,,MCAV,,,,,,,,
123,8/17/21,30,32,MCAV,3,Turrumote,30MC3T,Y,,6/2/23,17.0,HLE,6/2/23,HLE,,,,,MCAV,,,,,,,,
124,8/17/21,30,30,MCAV,4,Turrumote,30MC4T,Y,,6/6/23,20.0,HLE,6/6/23,HLE,,,,,MCAV,,,,,,,,
125,8/17/21,30,30,MCAV,5,Turrumote,30MC5T,Y,,6/2/23,23.0,HLE,6/2/23,HLE,,,,,MCAV,,,,,,,,
12,8/10/21,45,45,MCAV,1,Turrumote,45MC1T,Y,,6/2/23,37.0,HLE,6/2/23,HLE,,,,,MCAV,,,,,,,,
13,8/10/21,45,49,MCAV,2,Turrumote,45MC2T,Y,,6/2/23,43.0,HLE,6/2/23,HLE,,,,,MCAV,,,,,,,,
