"2021-07-16";"17:01:21";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM ";""
"2021-07-16 16:34:47.198";"2021-07-16";"16:34:47";"F";"503";"0";"0";"206";"-";"-"
"2021-07-16 16:35:50.237";"2021-07-16";"16:35:50";"F";"504";"0";"0";"204";"-";"-"
"2021-07-16 16:36:51.635";"2021-07-16";"16:36:51";"F";"505";"0";"0";"203";"-";"-"
"2021-07-16 16:37:54.704";"2021-07-16";"16:37:54";"F";"506";"0";"0";"203";"-";"-"
"2021-07-16 16:38:56.503";"2021-07-16";"16:38:56";"F";"507";"0";"0";"202";"-";"-"
"2021-07-16 16:39:58.609";"2021-07-16";"16:39:58";"F";"508";"0";"0";"202";"-";"-"
"2021-07-16 16:41:01.519";"2021-07-16";"16:41:01";"F";"509";"0";"1";"201";"-";"-"
"2021-07-16 16:42:03.891";"2021-07-16";"16:42:03";"F";"510";"0";"0";"199";"-";"-"
"2021-07-16 16:43:06.678";"2021-07-16";"16:43:06";"F";"511";"0";"0";"198";"-";"-"
"2021-07-16 16:44:07.834";"2021-07-16";"16:44:07";"F";"512";"0";"0";"195";"-";"-"
"2021-07-16 16:45:10.841";"2021-07-16";"16:45:10";"F";"513";"0";"0";"192";"-";"-"
"2021-07-16 16:46:13.347";"2021-07-16";"16:46:13";"F";"514";"0";"0";"189";"-";"-"
"2021-07-16 16:47:15.667";"2021-07-16";"16:47:15";"F";"515";"0";"0";"188";"-";"-"
"2021-07-16 16:48:17.380";"2021-07-16";"16:48:17";"F";"516";"0";"1";"187";"-";"-"
"2021-07-16 16:49:20.134";"2021-07-16";"16:49:20";"F";"517";"0";"0";"181";"-";"-"
"2021-07-16 16:50:21.946";"2021-07-16";"16:50:21";"F";"518";"0";"0";"187";"-";"-"
"2021-07-16 16:51:24.905";"2021-07-16";"16:51:24";"F";"519";"0";"0";"84";"-";"-"
"2021-07-16 16:52:26.626";"2021-07-16";"16:52:26";"F";"520";"0";"0";"184";"-";"-"
"2021-07-16 16:53:30.130";"2021-07-16";"16:53:30";"F";"521";"0";"0";"178";"-";"-"
"2021-07-16 16:54:31.228";"2021-07-16";"16:54:31";"F";"522";"0";"0";"175";"-";"-"
"2021-07-16 16:55:34.077";"2021-07-16";"16:55:34";"F";"523";"0";"0";"172";"-";"-"
"2021-07-16 16:56:36.751";"2021-07-16";"16:56:36";"F";"524";"0";"0";"174";"-";"-"
"2021-07-16 16:57:38.795";"2021-07-16";"16:57:38";"F";"525";"0";"0";"165";"-";"-"
"2021-07-16 16:58:41.544";"2021-07-16";"16:58:41";"F";"526";"0";"0";"166";"-";"-"
"2021-07-16 16:59:43.901";"2021-07-16";"16:59:43";"F";"527";"0";"0";"36";"-";"-"
