Site Name ,ODY12084
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,12084


Scan No ,Date and Time,       Integrating Light,        ,
103,16/07/2021 , 14:43:00,1334,1334
104,16/07/2021 , 14:44:00,1329,1329
105,16/07/2021 , 14:45:00,1326,1326
106,16/07/2021 , 14:46:00,1323,1323
107,16/07/2021 , 14:47:00,1317,1317
108,16/07/2021 , 14:48:00,1316,1316
109,16/07/2021 , 14:49:00,1311,1311
110,16/07/2021 , 14:50:00,1311,1311
111,16/07/2021 , 14:51:00,1314,1314
112,16/07/2021 , 14:52:00,1308,1308
113,16/07/2021 , 14:53:00,1300,1300
114,16/07/2021 , 14:54:00,1298,1298
115,16/07/2021 , 14:55:00,1294,1294
116,16/07/2021 , 14:56:00,1286,1286
117,16/07/2021 , 14:57:00,1282,1282
118,16/07/2021 , 14:58:00,1301,1301
119,16/07/2021 , 14:59:00,1161,1161
120,16/07/2021 , 15:00:00,1281,1281
121,16/07/2021 , 15:01:00,1282,1282
122,16/07/2021 , 15:02:00,1275,1275
123,16/07/2021 , 15:03:00,1275,1275
124,16/07/2021 , 15:04:00,1269,1269
125,16/07/2021 , 15:05:00,1266,1266
126,16/07/2021 , 15:06:00,1260,1260
127,16/07/2021 , 15:07:00,1259,1259
128,16/07/2021 , 15:08:00,1253,1253
129,16/07/2021 , 15:09:00,1251,1251
130,16/07/2021 , 15:10:00,1248,1248
131,16/07/2021 , 15:11:00,1247,1247
132,16/07/2021 , 15:12:00,1245,1245
133,16/07/2021 , 15:13:00,1239,1239
134,16/07/2021 , 15:14:00,1235,1235
135,16/07/2021 , 15:15:00,1231,1231
136,16/07/2021 , 15:16:00,1229,1229
137,16/07/2021 , 15:17:00,1227,1227
138,16/07/2021 , 15:18:00,1221,1221
139,16/07/2021 , 15:19:00,1218,1218
140,16/07/2021 , 15:20:00,1219,1219
141,16/07/2021 , 15:21:00,1114,1114
142,16/07/2021 , 15:22:00,1108,1108
143,16/07/2021 , 15:23:00,1102,1102
144,16/07/2021 , 15:24:00,1102,1102
145,16/07/2021 , 15:25:00,1171,1171
146,16/07/2021 , 15:26:00,1185,1185
147,16/07/2021 , 15:27:00,1173,1173
148,16/07/2021 , 15:28:00,1188,1188
149,16/07/2021 , 15:29:00,1184,1184
150,16/07/2021 , 15:30:00,1179,1179
151,16/07/2021 , 15:31:00,1175,1175
152,16/07/2021 , 15:32:00,1172,1172
153,16/07/2021 , 15:33:00,1166,1166
154,16/07/2021 , 15:34:00,1163,1163
155,16/07/2021 , 15:35:00,1160,1160
156,16/07/2021 , 15:36:00,1156,1156
157,16/07/2021 , 15:37:00,1153,1153
158,16/07/2021 , 15:38:00,1149,1149
159,16/07/2021 , 15:39:00,1144,1144
160,16/07/2021 , 15:40:00,1139,1139
161,16/07/2021 , 15:41:00,1136,1136
162,16/07/2021 , 15:42:00,1131,1131
163,16/07/2021 , 15:43:00,1128,1128
164,16/07/2021 , 15:44:00,1125,1125
165,16/07/2021 , 15:45:00,1122,1122
166,16/07/2021 , 15:46:00,1118,1118
167,16/07/2021 , 15:47:00,1114,1114
168,16/07/2021 , 15:48:00,1109,1109
169,16/07/2021 , 15:49:00,1105,1105
170,16/07/2021 , 15:50:00,1100,1100
171,16/07/2021 , 15:51:00,1097,1097
172,16/07/2021 , 15:52:00,1092,1092
173,16/07/2021 , 15:53:00,1089,1089
174,16/07/2021 , 15:54:00,808,808
175,16/07/2021 , 15:55:00,514,514
176,16/07/2021 , 15:56:00,498,498
177,16/07/2021 , 15:57:00,498,498
178,16/07/2021 , 15:58:00,495,495
179,16/07/2021 , 15:59:00,492,492
180,16/07/2021 , 16:00:00,491,491
181,16/07/2021 , 16:01:00,491,491
182,16/07/2021 , 16:02:00,488,488
183,16/07/2021 , 16:03:00,487,487
184,16/07/2021 , 16:04:00,484,484
185,16/07/2021 , 16:05:00,481,481
186,16/07/2021 , 16:06:00,480,480
187,16/07/2021 , 16:07:00,479,479
188,16/07/2021 , 16:08:00,476,476
189,16/07/2021 , 16:09:00,474,474
190,16/07/2021 , 16:10:00,472,472
191,16/07/2021 , 16:11:00,468,468
192,16/07/2021 , 16:12:00,467,467
193,16/07/2021 , 16:13:00,465,465
194,16/07/2021 , 16:14:00,461,461
195,16/07/2021 , 16:15:00,459,459
196,16/07/2021 , 16:16:00,456,456
197,16/07/2021 , 16:17:00,455,455
198,16/07/2021 , 16:18:00,451,451
199,16/07/2021 , 16:19:00,452,452
200,16/07/2021 , 16:20:00,448,448
201,16/07/2021 , 16:21:00,448,448
202,16/07/2021 , 16:22:00,445,445
203,16/07/2021 , 16:23:00,443,443
204,16/07/2021 , 16:24:00,439,439
205,16/07/2021 , 16:25:00,435,435
206,16/07/2021 , 16:26:00,433,433
207,16/07/2021 , 16:27:00,431,431
208,16/07/2021 , 16:28:00,432,432
209,16/07/2021 , 16:29:00,427,427
210,16/07/2021 , 16:30:00,425,425
211,16/07/2021 , 16:31:00,424,424
212,16/07/2021 , 16:32:00,419,419
213,16/07/2021 , 16:33:00,417,417
214,16/07/2021 , 16:34:00,415,415
215,16/07/2021 , 16:35:00,413,413
216,16/07/2021 , 16:36:00,410,410
217,16/07/2021 , 16:37:00,408,408
218,16/07/2021 , 16:38:00,408,408
219,16/07/2021 , 16:39:00,407,407
220,16/07/2021 , 16:40:00,408,408
221,16/07/2021 , 16:41:00,406,406
222,16/07/2021 , 16:42:00,404,404
223,16/07/2021 , 16:43:00,401,401
224,16/07/2021 , 16:44:00,397,397
225,16/07/2021 , 16:45:00,393,393
226,16/07/2021 , 16:46:00,386,386
227,16/07/2021 , 16:47:00,384,384
228,16/07/2021 , 16:48:00,381,381
229,16/07/2021 , 16:49:00,380,380
230,16/07/2021 , 16:50:00,357,357
231,16/07/2021 , 16:51:00,272,272
232,16/07/2021 , 16:52:00,193,193
233,16/07/2021 , 16:53:00,369,369
234,16/07/2021 , 16:54:00,363,363
235,16/07/2021 , 16:55:00,359,359
236,16/07/2021 , 16:56:00,344,344
237,16/07/2021 , 16:57:00,354,354
238,16/07/2021 , 16:58:00,344,344
239,16/07/2021 , 16:59:00,341,341
240,16/07/2021 , 17:00:00,306,306
241,16/07/2021 , 17:01:00,4,4
242,16/07/2021 , 17:02:00,0,0
243,16/07/2021 , 17:03:00,0,0
244,16/07/2021 , 17:04:00,0,0
245,16/07/2021 , 17:05:00,0,0
246,16/07/2021 , 17:06:00,0,0
247,16/07/2021 , 17:07:00,0,0
248,16/07/2021 , 17:08:00,0,0
249,16/07/2021 , 17:09:00,0,0
250,16/07/2021 , 17:10:00,0,0
251,16/07/2021 , 17:11:00,0,0
252,16/07/2021 , 17:12:00,0,0
253,16/07/2021 , 17:13:00,0,0
254,16/07/2021 , 17:14:00,0,0
