Site Name ,ODY7359
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,7359


Scan No ,Date and Time,       Integrating Light,        ,
103,16/07/2021 , 14:43:00,3570,3570
104,16/07/2021 , 14:44:00,3559,3559
105,16/07/2021 , 14:45:00,3553,3553
106,16/07/2021 , 14:46:00,3546,3546
107,16/07/2021 , 14:47:00,3529,3529
108,16/07/2021 , 14:48:00,3529,3529
109,16/07/2021 , 14:49:00,3519,3519
110,16/07/2021 , 14:50:00,3523,3523
111,16/07/2021 , 14:51:00,3530,3530
112,16/07/2021 , 14:52:00,3517,3517
113,16/07/2021 , 14:53:00,3498,3498
114,16/07/2021 , 14:54:00,3494,3494
115,16/07/2021 , 14:55:00,3482,3482
116,16/07/2021 , 14:56:00,3462,3462
117,16/07/2021 , 14:57:00,3455,3455
118,16/07/2021 , 14:58:00,3514,3514
119,16/07/2021 , 14:59:00,3128,3128
120,16/07/2021 , 15:00:00,3454,3454
121,16/07/2021 , 15:01:00,3460,3460
122,16/07/2021 , 15:02:00,3440,3440
123,16/07/2021 , 15:03:00,3442,3442
124,16/07/2021 , 15:04:00,3425,3425
125,16/07/2021 , 15:05:00,3417,3417
126,16/07/2021 , 15:06:00,3402,3402
127,16/07/2021 , 15:07:00,3399,3399
128,16/07/2021 , 15:08:00,3385,3385
129,16/07/2021 , 15:09:00,3380,3380
130,16/07/2021 , 15:10:00,3373,3373
131,16/07/2021 , 15:11:00,3372,3372
132,16/07/2021 , 15:12:00,3366,3366
133,16/07/2021 , 15:13:00,3350,3350
134,16/07/2021 , 15:14:00,3339,3339
135,16/07/2021 , 15:15:00,3330,3330
136,16/07/2021 , 15:16:00,3326,3326
137,16/07/2021 , 15:17:00,3318,3318
138,16/07/2021 , 15:18:00,3306,3306
139,16/07/2021 , 15:19:00,3300,3300
140,16/07/2021 , 15:20:00,3305,3305
141,16/07/2021 , 15:21:00,3009,3009
142,16/07/2021 , 15:22:00,2992,2992
143,16/07/2021 , 15:23:00,2979,2979
144,16/07/2021 , 15:24:00,2978,2978
145,16/07/2021 , 15:25:00,3175,3175
146,16/07/2021 , 15:26:00,3211,3211
147,16/07/2021 , 15:27:00,3180,3180
148,16/07/2021 , 15:28:00,3224,3224
149,16/07/2021 , 15:29:00,3213,3213
150,16/07/2021 , 15:30:00,3199,3199
151,16/07/2021 , 15:31:00,3189,3189
152,16/07/2021 , 15:32:00,3181,3181
153,16/07/2021 , 15:33:00,3166,3166
154,16/07/2021 , 15:34:00,3157,3157
155,16/07/2021 , 15:35:00,3148,3148
156,16/07/2021 , 15:36:00,3140,3140
157,16/07/2021 , 15:37:00,3130,3130
158,16/07/2021 , 15:38:00,3121,3121
159,16/07/2021 , 15:39:00,3106,3106
160,16/07/2021 , 15:40:00,3094,3094
161,16/07/2021 , 15:41:00,3087,3087
162,16/07/2021 , 15:42:00,3073,3073
163,16/07/2021 , 15:43:00,3064,3064
164,16/07/2021 , 15:44:00,3054,3054
165,16/07/2021 , 15:45:00,3044,3044
166,16/07/2021 , 15:46:00,3035,3035
167,16/07/2021 , 15:47:00,3026,3026
168,16/07/2021 , 15:48:00,3013,3013
169,16/07/2021 , 15:49:00,3001,3001
170,16/07/2021 , 15:50:00,2990,2990
171,16/07/2021 , 15:51:00,2980,2980
172,16/07/2021 , 15:52:00,2967,2967
173,16/07/2021 , 15:53:00,2959,2959
174,16/07/2021 , 15:54:00,2220,2220
175,16/07/2021 , 15:55:00,1490,1490
176,16/07/2021 , 15:56:00,1496,1496
177,16/07/2021 , 15:57:00,1490,1490
178,16/07/2021 , 15:58:00,1484,1484
179,16/07/2021 , 15:59:00,1474,1474
180,16/07/2021 , 16:00:00,1472,1472
181,16/07/2021 , 16:01:00,1467,1467
182,16/07/2021 , 16:02:00,1458,1458
183,16/07/2021 , 16:03:00,1453,1453
184,16/07/2021 , 16:04:00,1444,1444
185,16/07/2021 , 16:05:00,1436,1436
186,16/07/2021 , 16:06:00,1431,1431
187,16/07/2021 , 16:07:00,1426,1426
188,16/07/2021 , 16:08:00,1419,1419
189,16/07/2021 , 16:09:00,1411,1411
190,16/07/2021 , 16:10:00,1406,1406
191,16/07/2021 , 16:11:00,1393,1393
192,16/07/2021 , 16:12:00,1389,1389
193,16/07/2021 , 16:13:00,1382,1382
194,16/07/2021 , 16:14:00,1373,1373
195,16/07/2021 , 16:15:00,1364,1364
196,16/07/2021 , 16:16:00,1358,1358
197,16/07/2021 , 16:17:00,1350,1350
198,16/07/2021 , 16:18:00,1342,1342
199,16/07/2021 , 16:19:00,1344,1344
200,16/07/2021 , 16:20:00,1332,1332
201,16/07/2021 , 16:21:00,1331,1331
202,16/07/2021 , 16:22:00,1320,1320
203,16/07/2021 , 16:23:00,1315,1315
204,16/07/2021 , 16:24:00,1301,1301
205,16/07/2021 , 16:25:00,1292,1292
206,16/07/2021 , 16:26:00,1284,1284
207,16/07/2021 , 16:27:00,1281,1281
208,16/07/2021 , 16:28:00,1281,1281
209,16/07/2021 , 16:29:00,1267,1267
210,16/07/2021 , 16:30:00,1263,1263
211,16/07/2021 , 16:31:00,1258,1258
212,16/07/2021 , 16:32:00,1246,1246
213,16/07/2021 , 16:33:00,1238,1238
214,16/07/2021 , 16:34:00,1234,1234
215,16/07/2021 , 16:35:00,1227,1227
216,16/07/2021 , 16:36:00,1218,1218
217,16/07/2021 , 16:37:00,1214,1214
218,16/07/2021 , 16:38:00,1214,1214
219,16/07/2021 , 16:39:00,1210,1210
220,16/07/2021 , 16:40:00,1210,1210
221,16/07/2021 , 16:41:00,1206,1206
222,16/07/2021 , 16:42:00,1200,1200
223,16/07/2021 , 16:43:00,1192,1192
224,16/07/2021 , 16:44:00,1180,1180
225,16/07/2021 , 16:45:00,1167,1167
226,16/07/2021 , 16:46:00,1147,1147
227,16/07/2021 , 16:47:00,1139,1139
228,16/07/2021 , 16:48:00,1132,1132
229,16/07/2021 , 16:49:00,1128,1128
230,16/07/2021 , 16:50:00,1062,1062
231,16/07/2021 , 16:51:00,813,813
232,16/07/2021 , 16:52:00,582,582
233,16/07/2021 , 16:53:00,1098,1098
234,16/07/2021 , 16:54:00,1078,1078
235,16/07/2021 , 16:55:00,1066,1066
236,16/07/2021 , 16:56:00,1024,1024
237,16/07/2021 , 16:57:00,1051,1051
238,16/07/2021 , 16:58:00,1021,1021
239,16/07/2021 , 16:59:00,1013,1013
240,16/07/2021 , 17:00:00,871,871
241,16/07/2021 , 17:01:00,12,12
242,16/07/2021 , 17:02:00,1,1
243,16/07/2021 , 17:03:00,1,1
244,16/07/2021 , 17:04:00,1,1
245,16/07/2021 , 17:05:00,1,1
246,16/07/2021 , 17:06:00,2,2
247,16/07/2021 , 17:07:00,3,3
248,16/07/2021 , 17:08:00,1,1
249,16/07/2021 , 17:09:00,1,1
250,16/07/2021 , 17:10:00,3,3
251,16/07/2021 , 17:11:00,1,1
252,16/07/2021 , 17:12:00,1,1
