"colony_id","A","CA","CH","CW","H","W","D","CA.A"
"OFRA_PP_2HS11",0.169,0.0816,0.2986,0.2938,0.4568,0.4516,4.31,0.482840236686391
"OFRA_PP_2HS17_P1",0.1865,0.09125,0.3235,0.3186,0.45475,0.4662,4.862,0.489276139410188
"OFRA_PP_2HS17_P2",0.1266,0.0546,0.2694,0.2428,0.4098,0.3976,6.452,0.431279620853081
"OFRA_PP_2HS27",0.1464,0.0612,0.2622,0.2604,0.4132,0.452,5.66,0.418032786885246
"OFRA_PP_2HS9_P1",0.1144,0.04,0.2288,0.2244,0.3752,0.395,7.595,0.34965034965035
"OFRA_PP_2HS9_P2",0.1802,0.0738,0.31,0.2894,0.4956,0.4834,4.005,0.409544950055494
"OFRA_PP_4CX12",0.16575,0.0752,0.3064,0.275,0.4585,0.4208,4.739,0.45369532428356
"OFRA_PP_4HS15",0.1236,0.0436,0.2128,0.2414,0.3456,0.4328,9.063,0.352750809061489
"OFRA_PP_6EV18",0.126,0.0622,0.2358,0.2802,0.3874,0.4838,6.508,0.493650793650794
"OFRA_PP_6GT17",0.184,0.0492,0.229,0.2412,0.4558,0.5446,5.213,0.267391304347826
"OFRA_PP_8CX24",0.1346,0.0708,0.2578,0.2706,0.3982,0.4358,6.612,0.526002971768202
"OFRA_PP_8HS21",0.154,0.0684,0.289,0.312,0.4808,0.4794,5.278,0.444155844155844
"OFRA_PP_8HS23",0.10875,0.06,0.2454,0.22325,0.3902,0.38925,6.633,0.551724137931034
"OFRA_PP_8HS24",0.207,0.097,0.342,0.3192,0.52775,0.5575,5.297,0.468599033816425
"OFRA_PP_9CX5_P1",0.1078,0.0392,0.2278,0.1984,0.3798,0.3804,9.335,0.363636363636364
"OFRA_PP_9CX5_P2",0.1902,0.0624,0.2902,0.2502,0.4896,0.4234,6.362,0.32807570977918
"OFRA_PP_9GT30_P1",0.1774,0.0742,0.284,0.294,0.4434,0.4788,5.691,0.41826381059752
"OFRA_PP_9GT30_P2",0.192,0.0758,0.292,0.2768,0.4756,0.4548,4.825,0.394791666666667
"OFRA_PS_0CX4",0.1825,0.0712,0.2852,0.273,0.465,0.5442,4.216,0.39013698630137
"OFRA_PS_0CX5",0.1272,0.0394,0.1898,0.2216,0.3754,0.4682,4.239,0.309748427672956
"OFRA_PS_0GT1",0.1466,0.0532,0.2704,0.2404,0.466,0.4382,5.839,0.362892223738063
