"Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"30OFA3T",0.0002141,132.264,7.801,176.333,-0.235,0.228,"C2","CW"
"30OFA3T",0.096,153.041,0,214,0,0,"C2","A"
"30OFA3T",0.041,131.74,0,209,0,0,"C2","CA"
"30OFA3T",0.0003959,150.582,44.09,210.632,-89.62,0.423,"C3","H"
"30OFA3T",0.0002429,131.985,89.043,192.913,-90.827,0.259,"C3","CH"
"30OFA3T",0.000319,159.638,0.033,209.333,0.315,0.34,"C3","W"
"30OFA3T",0.0002237,134.773,0.333,198,0,0.238,"C3","CW"
"30OFA3T",0.118,167.539,0,224,0,0,"C3","A"
"30OFA3T",0.044,145.249,0,224,0,0,"C3","CA"
"30OFA3T",0.0003522,129.675,0.333,199.333,-89.572,0.376,"C4","H"
"30OFA3T",0.0002272,99.584,0.333,218.923,-90.664,0.242,"C1","CH"
"30OFA3T",0.0002438,133.278,0.667,182.667,-90,0.26,"C4","CH"
"30OFA3T",0.0003251,136.639,0.629,190.667,-1.081,0.347,"C4","W"
"30OFA3T",0.0002089,128.595,0.181,178.952,-0.241,0.222,"C4","CW"
"30OFA3T",0.094,151.592,0,210,0,0,"C4","A"
"30OFA3T",0.044,132.666,0,204,0,0,"C4","CA"
"30OFA3T",0.0003697,123.788,0.355,184.652,-92.036,0.395,"C5","H"
"30OFA3T",0.000208,115.469,0.509,179.277,-90.242,0.222,"C5","CH"
"30OFA3T",0.0003496,137.247,1.254,181.799,-1.436,0.373,"C5","W"
"30OFA3T",0.0002115,139.793,0.333,202.333,-0.238,0.225,"C5","CW"
"30OFA3T",0.108,161.055,0,233,0,0,"C5","A"
"30OFA3T",0.0003871,162.237,0.541,213.691,1.166,0.413,"C1","W"
"30OFA3T",0.04,142.042,0,204,0,0,"C5","CA"
"30OFA3T",0.0002228,145.799,0.333,197.042,1.579,0.238,"C1","CW"
"30OFA3T",0.134,158.088,0,236,0,0,"C1","A"
"30OFA3T",0.042,137.303,0,236,0,0,"C1","CA"
"30OFA3T",0.0003461,124.552,0.186,188.574,-89.275,0.369,"C2","H"
"30OFA3T",0.0002176,103.112,0.18,179.657,-90.231,0.232,"C2","CH"
"30OFA3T",0.0002875,148.504,0.142,196.333,1.746,0.307,"C2","W"
"30OFA4T",0.0004263,116.785,0.333,184.035,-89.589,0.422,"C1","H"
"30OFA4T",0.0002625,153.802,0.288,215.612,0.446,0.259,"C2","CW"
"30OFA4T",0.141,157.995,0,240,0,0,"C2","A"
"30OFA4T",0.06,149.374,0,240,0,0,"C2","CA"
"30OFA4T",0.0004782,148.037,0.522,224.184,-89.634,0.473,"C3","H"
"30OFA4T",0.0002594,156.528,98.667,226.404,-89.098,0.256,"C3","CH"
"30OFA4T",0.00047,146.23,0,203.895,-0.994,0.465,"C3","W"
"30OFA4T",0.0002604,139.629,0.333,191.373,-1.348,0.257,"C3","CW"
"30OFA4T",0.151,156.42,0,250,0,0,"C3","A"
"30OFA4T",0.053,155.7,0,250,0,0,"C3","CA"
"30OFA4T",0.000467,147.405,0.667,208.658,-87.5,0.462,"C4","H"
"30OFA4T",0.000295,145.885,2.159,202.535,-89.009,0.292,"C1","CH"
"30OFA4T",0.0003062,138.275,0.436,219.513,-87.9,0.303,"C4","CH"
"30OFA4T",0.0004263,153.734,0.333,204,0,0.422,"C4","W"
"30OFA4T",0.0002686,137.641,86.667,210,0,0.265,"C4","CW"
