datetime,Date,Time,depth,LightCrrx,DO_mg.L,Temp_C
2021-07-14T05:30:00Z,2021-07-14,1:30:00,shallow,0,NA,NA
2021-07-14T05:40:00Z,2021-07-14,1:40:00,shallow,0,NA,NA
2021-07-14T05:50:00Z,2021-07-14,1:50:00,shallow,0,NA,NA
2021-07-14T06:00:00Z,2021-07-14,2:00:00,shallow,0,NA,NA
2021-07-14T06:10:00Z,2021-07-14,2:10:00,shallow,0,NA,NA
2021-07-14T06:20:00Z,2021-07-14,2:20:00,shallow,0,NA,NA
2021-07-14T06:30:00Z,2021-07-14,2:30:00,shallow,0,NA,NA
2021-07-14T06:40:00Z,2021-07-14,2:40:00,shallow,0,NA,NA
2021-07-14T06:50:00Z,2021-07-14,2:50:00,shallow,0,NA,NA
2021-07-14T07:00:00Z,2021-07-14,3:00:00,shallow,0,NA,NA
2021-07-14T07:10:00Z,2021-07-14,3:10:00,shallow,0,NA,NA
2021-07-14T07:20:00Z,2021-07-14,3:20:00,shallow,0,NA,NA
2021-07-14T07:30:00Z,2021-07-14,3:30:00,shallow,0,NA,NA
2021-07-14T07:40:00Z,2021-07-14,3:40:00,shallow,0,NA,NA
2021-07-14T07:50:00Z,2021-07-14,3:50:00,shallow,0,NA,NA
2021-07-14T08:00:00Z,2021-07-14,4:00:00,shallow,0,NA,NA
2021-07-14T08:10:00Z,2021-07-14,4:10:00,shallow,0,NA,NA
2021-07-14T08:20:00Z,2021-07-14,4:20:00,shallow,0,NA,NA
2021-07-14T08:30:00Z,2021-07-14,4:30:00,shallow,0,NA,NA
2021-07-14T08:40:00Z,2021-07-14,4:40:00,shallow,0,NA,NA
2021-07-14T08:50:00Z,2021-07-14,4:50:00,shallow,0,NA,NA
2021-07-14T09:00:00Z,2021-07-14,5:00:00,shallow,0,NA,NA
2021-07-14T09:10:00Z,2021-07-14,5:10:00,shallow,0,NA,NA
2021-07-14T09:20:00Z,2021-07-14,5:20:00,shallow,0,NA,NA
2021-07-14T09:30:00Z,2021-07-14,5:30:00,shallow,0,NA,NA
2021-07-14T09:40:00Z,2021-07-14,5:40:00,shallow,0,NA,NA
2021-07-14T09:50:00Z,2021-07-14,5:50:00,shallow,0,NA,NA
2021-07-14T10:00:00Z,2021-07-14,6:00:00,shallow,0,NA,NA
2021-07-14T10:10:00Z,2021-07-14,6:10:00,shallow,1.1799,NA,NA
2021-07-14T10:20:00Z,2021-07-14,6:20:00,shallow,3.5397,NA,NA
2021-07-14T10:30:00Z,2021-07-14,6:30:00,shallow,6.9483,NA,NA
2021-07-14T10:40:00Z,2021-07-14,6:40:00,shallow,11.2746,NA,NA
2021-07-14T10:50:00Z,2021-07-14,6:50:00,shallow,16.3875,NA,NA
2021-07-14T11:00:00Z,2021-07-14,7:00:00,shallow,22.4181,NA,NA
2021-07-14T11:10:00Z,2021-07-14,7:10:00,shallow,29.1042,NA,NA
2021-07-14T11:20:00Z,2021-07-14,7:20:00,shallow,36.8391,NA,NA
2021-07-14T11:30:00Z,2021-07-14,7:30:00,shallow,44.9673,NA,NA
2021-07-14T11:40:00Z,2021-07-14,7:40:00,shallow,54.5376,NA,NA
2021-07-14T11:50:00Z,2021-07-14,7:50:00,shallow,64.5012,NA,NA
2021-07-14T12:00:00Z,2021-07-14,8:00:00,shallow,74.3337,NA,NA
2021-07-14T12:10:00Z,2021-07-14,8:10:00,shallow,84.4284,NA,NA
2021-07-14T12:20:00Z,2021-07-14,8:20:00,shallow,93.7365,NA,NA
2021-07-14T12:30:00Z,2021-07-14,8:30:00,shallow,101.3403,NA,NA
2021-07-14T12:40:00Z,2021-07-14,8:40:00,shallow,116.9412,NA,NA
2021-07-14T12:50:00Z,2021-07-14,8:50:00,shallow,128.8713,NA,NA
2021-07-14T13:00:00Z,2021-07-14,9:00:00,shallow,140.4081,NA,NA
2021-07-14T13:10:00Z,2021-07-14,9:10:00,shallow,151.9449,NA,NA
2021-07-14T13:20:00Z,2021-07-14,9:20:00,shallow,163.0884,NA,NA
2021-07-14T13:30:00Z,2021-07-14,9:30:00,shallow,170.1678,NA,NA
2021-07-14T13:40:00Z,2021-07-14,9:40:00,shallow,179.7381,NA,NA
2021-07-14T13:50:00Z,2021-07-14,9:50:00,shallow,188.784,NA,NA
2021-07-14T14:00:00Z,2021-07-14,10:00:00,shallow,199.6653,NA,NA
2021-07-14T14:10:00Z,2021-07-14,10:10:00,shallow,209.1045,NA,NA
2021-07-14T14:20:00Z,2021-07-14,10:20:00,shallow,220.5102,NA,NA
2021-07-14T14:30:00Z,2021-07-14,10:30:00,shallow,230.8671,NA,NA
2021-07-14T14:40:00Z,2021-07-14,10:40:00,shallow,235.5867,NA,NA
2021-07-14T14:50:00Z,2021-07-14,10:50:00,shallow,244.3704,NA,NA
2021-07-14T15:00:00Z,2021-07-14,11:00:00,shallow,252.4986,NA,NA
2021-07-14T15:10:00Z,2021-07-14,11:10:00,shallow,259.3158,NA,NA
2021-07-14T15:20:00Z,2021-07-14,11:20:00,shallow,264.4287,NA,NA
2021-07-14T15:30:00Z,2021-07-14,11:30:00,shallow,268.755,NA,NA
2021-07-14T15:40:00Z,2021-07-14,11:40:00,shallow,273.2124,NA,NA
2021-07-14T15:50:00Z,2021-07-14,11:50:00,shallow,278.0631,NA,NA
2021-07-14T16:00:00Z,2021-07-14,12:00:00,shallow,281.6028,NA,NA
2021-07-14T16:10:00Z,2021-07-14,12:10:00,shallow,284.0937,NA,NA
2021-07-14T16:20:00Z,2021-07-14,12:20:00,shallow,284.6181,NA,NA
2021-07-14T16:30:00Z,2021-07-14,12:30:00,shallow,283.7004,NA,NA
2021-07-14T16:40:00Z,2021-07-14,12:40:00,shallow,285.0114,NA,NA
2021-07-14T16:50:00Z,2021-07-14,12:50:00,shallow,285.5358,NA,NA
2021-07-14T17:00:00Z,2021-07-14,13:00:00,shallow,281.3406,NA,NA
2021-07-14T17:10:00Z,2021-07-14,13:10:00,shallow,275.4411,NA,NA
2021-07-14T17:20:00Z,2021-07-14,13:20:00,shallow,166.3659,NA,NA
2021-07-14T17:30:00Z,2021-07-14,13:30:00,shallow,246.468,NA,NA
2021-07-14T17:40:00Z,2021-07-14,13:40:00,shallow,252.4986,NA,NA
2021-07-14T17:50:00Z,2021-07-14,13:50:00,shallow,218.2815,NA,NA
2021-07-14T18:00:00Z,2021-07-14,14:00:00,shallow,209.2356,NA,NA
2021-07-14T18:10:00Z,2021-07-14,14:10:00,shallow,173.8386,NA,NA
2021-07-14T18:20:00Z,2021-07-14,14:20:00,shallow,159.6798,NA,NA
2021-07-14T18:30:00Z,2021-07-14,14:30:00,shallow,86.1327,NA,NA
2021-07-14T18:40:00Z,2021-07-14,14:40:00,shallow,90.9834,NA,NA
2021-07-14T18:50:00Z,2021-07-14,14:50:00,shallow,99.8982,NA,NA
2021-07-14T19:00:00Z,2021-07-14,15:00:00,shallow,138.4416,NA,NA
2021-07-14T19:10:00Z,2021-07-14,15:10:00,shallow,117.5967,NA,NA
2021-07-14T19:20:00Z,2021-07-14,15:20:00,shallow,65.6811,NA,NA
2021-07-14T19:30:00Z,2021-07-14,15:30:00,shallow,100.8159,NA,NA
2021-07-14T19:40:00Z,2021-07-14,15:40:00,shallow,104.3556,NA,NA
2021-07-14T19:50:00Z,2021-07-14,15:50:00,shallow,60.9615,NA,NA
2021-07-14T20:00:00Z,2021-07-14,16:00:00,shallow,70.4007,NA,NA
2021-07-14T20:10:00Z,2021-07-14,16:10:00,shallow,102.258,NA,NA
2021-07-14T20:20:00Z,2021-07-14,16:20:00,shallow,111.8283,NA,NA
2021-07-14T20:30:00Z,2021-07-14,16:30:00,shallow,117.0723,NA,NA
2021-07-14T20:40:00Z,2021-07-14,16:40:00,shallow,96.2274,NA,NA
2021-07-14T20:50:00Z,2021-07-14,16:50:00,shallow,79.1844,NA,NA
2021-07-14T21:00:00Z,2021-07-14,17:00:00,shallow,71.4495,NA,NA
2021-07-14T21:10:00Z,2021-07-14,17:10:00,shallow,26.7444,NA,NA
2021-07-14T21:20:00Z,2021-07-14,17:20:00,shallow,21.1071,NA,NA
2021-07-14T21:30:00Z,2021-07-14,17:30:00,shallow,15.2076,NA,NA
