"","colony_id","Sym_AFDW_mg.cm2","Host_AFDW_mg.cm2"
"44","OFAV_PS_310",6.91651376209538,3.78761467924271
"45","OFAV_PS_313",4.80327056528707,3.40231665041168
"46","OFAV_PS_352",11.696269047979,4.24461376741173
"47","OFAV_PS_356",10.3063850220587,6.34239078280533
"48","OFAV_PS_357",7.76691140540134,3.25524963314615
"49","OFAV_PS_359",10.139878951733,4.52673167488079
"50","OFAV_PS_360",6.73962666618501,3.59957333307608
"51","OFAV_PS_362",11.48,3.5
"52","OFAV_PS_365_P1",7.48262124683235,5.51351039240278
"53","OFAV_PS_365_P2",5.12525839778714,4.29617248049804
"54","OFAV_PS_367",4.28701461390759,5.55363256801664
"55","OFAV_PS_368",5.22913165279777,4.90231092449791
"56","OFAV_PS_369",7.42793949806031,3.39379994307928
"57","OFAV_PS_370",13.7183662288524,5.2698601976689
"58","OFAV_PS_371",10.5187866256787,5.41408135145228
"59","OFAV_PS_9AZ5",13.7747271473885,3.21410300105732
"60","OFAV_PS_9AZ9",4.33956043956759,9.08595467034465
"61","OFAV_PS_9EV35",0,4.8014403291052
"62","OFAV_PS_9EV4",6.36642100461475,13.8697029029107
"63","OFAV_PS_9EV40",11.696379949612,7.14778774698513
"64","OFAV_PS_9EV5",2.704794520673,5.57863869888805
"65","OFAV_PS_9GT35",5.82370912261407,4.26737306398445
"66","OFAV_PS_9GT4",17.996025639872,5.86826923039306
"67","OFAV_PS_9GT46",7.46346073046566,3.16631667353088
"68","OFAV_PS_9IR44",14.1672483224065,5.56570469808826
"69","OFAV_PS_9JQ4",11.170522006004,4.0144063459077
"70","OFAV_PS_9JQ42",10.3150785858265,4.43019400801521
"71","OFAV_PS_9JQ431",7.29478334082372,6.51319941144975
"72","OFAV_PS_9JQ53",7.72043010792351,3.13642473134393
"73","OFAV_PS_AZ",7.43805496744884,4.07322057741246
"74","OFAV_PS_CX",4.7547129504421,10.9952736978974
"75","OFAV_PS_DW",8.98758765732392,5.24275946677229
"76","OFAV_PS_EV",9.01737488267938,4.34766288986327
"77","OFAV_SP_0AZ24",10.4532352931646,5.93933823475259
"78","OFAV_SP_0AZ4",11.5179166659283,8.63843749944625
"79","OFAV_SP_0EV3_P1",1.72166962701453,3.8737566607827
"80","OFAV_SP_0EV3_P2",7.37382629188182,2.433362676321
"81","OFAV_SP_2AZ21_P1",NA,NA
"82","OFAV_SP_2AZ21_P2",9.51693667161089,4.49410898381625
"83","OFAV_SP_2AZ7_P1",9.57075013413644,3.02234214762203
"84","OFAV_SP_2AZ7_P2",NA,NA
"85","OFAV_SP_2AZ7_P3",NA,NA
"86","OFAV_SP_2AZ7_P4",NA,NA
"87","OFAV_SP_2JQ31_P1",NA,NA
"88","OFAV_SP_2JQ31_P2",NA,NA
"89","OFAV_SP_2JQ31_P3",NA,NA
