"","colony_id","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2"
"87","15MC1ML",NA,NA
"88","15MC2ML",NA,NA
"89","15MC3ML",NA,NA
"90","15MC4ML",NA,NA
"91","15MC5ML",NA,NA
"92","30MC1ML",NA,NA
"93","30MC2ML",NA,NA
"94","30MC3ML",NA,NA
"95","30MC4ML",NA,NA
"96","30MC5ML",NA,NA
"97","45MC1ML",NA,NA
"98","45MC2ML",NA,NA
"99","45MC3ML",NA,NA
"100","45MC4ML",NA,NA
"101","45MC5ML",NA,NA
"102","55MC1ML",NA,NA
"103","55MC2ML",NA,NA
"104","55MC3ML",NA,NA
"105","55MC4ML",NA,NA
"106","55MC5ML",NA,NA
"107","15MC1T",NA,NA
"108","15MC2T",NA,NA
"109","15MC3T",NA,NA
"110","15MC4T",NA,NA
"111","15MC5T",NA,NA
"112","30MC1T",NA,NA
"113","30MC2T",NA,NA
"114","30MC3T",NA,NA
"115","30MC4T",NA,NA
"116","30MC5T",NA,NA
"117","45MC1T",NA,NA
"118","45MC2T",NA,NA
"119","45MC3T",NA,NA
"120","45MC4T",NA,NA
"121","45MC5T",NA,NA
"122","55MC1T",NA,NA
"123","55MC2T",NA,NA
"124","55MC3T",NA,NA
"125","55MC4T",NA,NA
"126","55MC5T",NA,NA
"127","15OFA1ML",6.5568301885778,11.6234716979334
"128","15OFA2ML",2.81622366882552,6.16604761174429
"129","15OFA3ML",2.83103316079611,5.37610337605727
"130","15OFA4ML",2.7953476983952,5.2742409403683
"131","15OFA5ML",2.89028625484988,5.84857924510799
"132","15OFA6ML",2.84117337367591,4.57359616250268
"133","30OFA1ML",4.15706650832623,7.67458432306382
"134","30OFA2ML",2.4083264188996,3.04727016268929
"135","30OFA3ML",2.08732298480403,4.92745098052098
"136","30OFA4ML",2.51591050835104,3.73328656077896
"137","30OFA5ML",0.898712548568223,2.09699594665919
"138","45OFA1ML",4.77306818184115,7.86152406420896
"139","45OFA2ML",4.28093729000456,5.04931064974897
"140","45OFA3ML",3.89160474696372,5.57603068221668
"141","45OFA4ML",3.80634019193239,8.38498129237281
"142","45OFA5ML",NA,NA
"143","55OFA1ML",2.7306737037568,6.24153989430126
"144","55OFA2ML",2.39680696646465,2.19707305259259
"145","55OFA3ML",4.09824420893964,4.66222276980289
"146","55OFA4ML",3.79583242096003,3.11986226380276
"147","55OFA5ML",1.27693089426169,6.56707317048869
"148","15OFA1AT",4.84580650407822,5.86004507469924
"149","15OFA3T",1.21238273944361,1.21238273944361
"150","15OFA4T",1.21249648186441,4.84998592745765
"151","15OFA5T",2.58539094644126,6.83281892988047
"152","30OFA1T",1.34414154295533,2.38958496525392
"153","30OFA2T",3.3576306409314,4.17838479760352
"154","30OFA3T",3.43175682836266,5.74293999848445
"155","30OFA4T",4.26613721512549,5.88432719327653
"156","30OFA5T",1.40824018042065,3.47365911170428
"157","45OFA1T",1.29512658227091,4.51633885099601
"158","45OFA2T",NA,NA
"159","45OFA3T",3.55881396927748,3.75293109487444
"160","45OFA4T",2.57087770917931,9.49247154158515
"161","45OFA5T",3.19320209708084,5.10912335532935
"162","45OFA6T",3.75768932309172,3.50340959446145
"163","55OFA1T",1.4313189565476,8.11080742043638
"164","55OFA2T",0.843649999949803,5.90554999964862
"165","55OFA3T",NA,NA
"166","55OFA4T",1.53284364226614,2.50436426060383
"167","55OFA5T",1.72683544230352,5.27139240282128
"168","15OFR1ML",3.41224987130891,5.74694715167816
"169","15OFR2ML",4.02422958406393,7.13574730370099
"170","15OFR3ML",3.1094934711578,4.08676284780739
"171","15OFR4ML",2.51166044781586,5.58146766181303
"172","15OFR5ML",3.12990974620768,5.08043321123566
"173","30OFR1ML",3.30894401444332,8.82385070518219
"174","30OFR2ML",1.93101637216119,9.01140973675223
"175","30OFR3ML",2.81041196658768,2.55491996962517
"176","30OFR4ML",2.61072996723155,4.52526527653469
"177","30OFR5ML",5.60172237418584,7.96689404328652
"178","45OFR1ML",2.35425588791998,4.42023554466609
"179","45OFR2ML",2.69500698406359,4.58151187290811
"180","45OFR3ML",2.49236280028008,3.8344043081232
"181","45OFR4ML",5.20680964121987,9.1436657114105
"182","45OFR5ML",2.25966312030482,4.45567375834754
"183","55OFR1ML",3.21803907082697,9.17326079959871
"184","55OFR2ML",2.84111201307506,4.89545454560626
"185","55OFR3ML",2.34159887619247,2.61030694395226
"186","55OFR4ML",3.96845924001245,5.95268886001868
