pan_number,colony_id,sym_host,sample_volume,pan_weight,pan_dry_sample,tissue_biomass,pan_burned_sample,AFDW(g/ml)
40,OFAV_SP_3EV30_P1,SYM,1,0.9586,0.9809,0.0223,0.9776,0.003300
41,OFAV_PS_CX,HOST,4,0.9701,1.0179,0.0478,1.0105,0.001850
42,OFAV_PP_0HS3,HOST,4,0.9650,1.0119,0.0469,1.0065,0.001350
43,OFAV_PS_9IR44,HOST,4,0.9868,1.0383,0.0515,1.0317,0.001650
44,OFAV_PS_368,HOST,4,0.9778,1.0281,0.0503,1.0191,0.002250
45,OFAV_PS_310,HOST,4,0.9658,1.0109,0.0451,1.0063,0.001150
46,OFAV_PS_0HS2,HOST,4,0.9570,1.0056,0.0486,0.9988,0.001700
47,OFAV_PS_9GT46,HOST,4,0.9664,1.0151,0.0487,1.0095,0.001400
48,OFAV_PP_0GT1,HOST,4,0.9567,0.9987,0.0420,0.9946,0.001025
49,OFAV_PP_2HS12,HOST,4,0.9557,1.0190,0.0633,1.0116,0.001850
50,OFAV_PP_359,HOST,4,0.9496,0.9959,0.0463,0.9813,0.003650
51,OFAV_PP_369,HOST,4,0.9566,0.9948,0.0382,0.9935,0.000325
52,OFAV_SP_6JQ16,HOST,4,0.9613,1.0027,0.0414,1.0026,0.000025
53,OFAV_PS_9EV5,HOST,4,0.9539,1.0003,0.0464,0.9937,0.001650
54,OFAV_PP_368,HOST,4,0.9496,0.9904,0.0408,0.9855,0.001225
55,OFAV_PP_9GT4,HOST,4,0.9854,1.0654,0.0800,1.0564,0.002250
56,OFAV_PS_360,HOST,4,0.9599,1.0053,0.0454,1.0006,0.001175
57,OFAV_PS_9JQ4,HOST,4,0.9513,0.9986,0.0473,0.9940,0.001150
58,OFAV_PP_9EV40,HOST,4,0.9643,1.0037,0.0394,1.0004,0.000825
59,OFAV_PS_356,HOST,4,0.9360,0.9843,0.0483,0.9779,0.001600
60,OFAV_PP_365,HOST,4,0.9534,0.9914,0.0380,0.9889,0.000625
61,OFAV_PS_CX,SYM,1,0.9482,0.9603,0.0121,0.9595,0.000800
62,OFAV_PP_0HS3,SYM,1,0.9654,0.9760,0.0106,0.9762,-0.000200
63,OFAV_PS_9IR44,SYM,1,0.9419,0.9687,0.0268,0.9645,0.004200
64,OFAV_PS_368,SYM,1,0.9427,0.9595,0.0168,0.9571,0.002400
65,OFAV_PS_310,SYM,1,0.9401,0.9545,0.0144,0.9524,0.002100
66,OFAV_PS_0HS2,SYM,1,0.9639,0.9784,0.0145,0.9778,0.000600
67,OFAV_PS_9GT46,SYM,1,0.9698,0.9897,0.0199,0.9864,0.003300
68,OFAV_PP_0GT1,SYM,1,0.9511,0.9653,0.0142,0.9643,0.001000
69,OFAV_PP_2HS12,SYM,1,0.9620,0.9752,0.0132,0.9738,0.001400
70,OFAV_PP_359,SYM,1,0.9648,0.9851,0.0203,0.9814,0.003700
71,OFAV_PP_369,SYM,1,0.9613,0.9828,0.0215,0.9799,0.002900
72,OFAV_SP_6JQ16,SYM,1,0.9591,0.9752,0.0161,0.9732,0.002000
73,OFAV_PS_9EV5,SYM,1,0.9669,0.9795,0.0126,0.9787,0.000800
74,OFAV_PP_368,SYM,1,0.9585,0.9714,0.0129,0.9708,0.000600
75,OFAV_PP_9GT4,SYM,1,0.9499,0.9644,0.0145,0.9632,0.001200
76,OFAV_PS_360,SYM,1,0.9537,0.9685,0.0148,0.9663,0.002200
77,OFAV_PS_9JQ4,SYM,1,0.9438,0.9595,0.0157,0.9563,0.003200
78,OFAV_PP_9EV40,SYM,1,0.9529,0.9652,0.0123,0.9645,0.000700
79,OFAV_PS_356,SYM,1,0.9489,0.9721,0.0232,0.9695,0.002600
80,OFAV_PP_365,SYM,1,0.9622,0.9736,0.0114,0.9723,0.001300
81,OFAV_PP_9AZ9,HOST,4,0.9566,0.9958,0.0392,0.9921,0.000925
82,OFAV_PS_9EV35,HOST,4,0.9666,1.0106,0.0440,1.0080,0.000650
83,OFAV_PP_9IR44,HOST,4,0.9587,1.0053,0.0466,1.0016,0.000925
84,OFAV_PP_313,HOST,4,0.9699,1.0151,0.0452,1.0110,0.001025
85,OFAV_PP_371,HOST,4,0.9453,0.9918,0.0465,0.9874,0.001100
86,OFAV_PP_9AZ5,HOST,4,0.9590,1.0052,0.0462,1.0015,0.000925
87,OFAV_PS_2HS12,HOST,4,0.9578,1.0040,0.0462,0.9999,0.001025
88,OFAV_PP_2HS48,HOST,4,0.9608,1.0255,0.0647,1.0215,0.001000
89,OFAV_PS_367,HOST,4,0.9679,1.0158,0.0479,1.0101,0.001425
90,OFAV_PS_369,HOST,4,0.9455,0.9941,0.0486,0.9888,0.001325
91,OFAV_PS_2HS6,HOST,4,0.9657,1.0210,0.0553,1.0130,0.002000
92,OFAV_PP_9JQ42,HOST,4,0.9515,0.9961,0.0446,0.9922,0.000975
93,OFAV_PP_9GT46,HOST,4,0.9735,1.0208,0.0473,1.0162,0.001150
94,OFAV_PP_362,HOST,4,0.9689,1.0102,0.0413,1.0059,0.001075
95,OFAV_PP_9JQ4,HOST,4,0.9571,1.0018,0.0447,0.9996,0.000550
96,OFAV_PP_357,HOST,4,0.9341,0.9809,0.0468,0.9761,0.001200
97,OFAV_PS_313,HOST,4,0.9601,1.0066,0.0465,1.0015,0.001275
98,OFAV_PS_2HS48,HOST,4,0.9818,1.0282,0.0464,1.0235,0.001175
