pan_number,colony_id,sym_host,sample_volume,pan_weight,pan_dry_sample,tissue_biomass,pan_burned_sample,AFDW(g/ml)
166,OFRA_PP_2GT3_P2,HOST,4,0.9487,0.9978,0.0491,0.9916,0.001550
167,OFRA_PP_2GT7_P1,HOST,4,0.9552,0.9990,0.0438,0.9952,0.000950
168,OFRA_PP_2GT38,HOST,4,0.9437,0.9909,0.0472,0.9860,0.001225
169,OFRA_PP_2CX12_P2,HOST,4,0.9558,1.0045,0.0487,0.9987,0.001450
170,OFRA_PP_2GT3_P1,HOST,4,0.9705,1.0175,0.0470,1.0122,0.001325
171,OFRA_PP_2HS17_P1,HOST,4,0.9714,1.0180,0.0466,1.0133,0.001175
172,OFRA_PS_2GT38,HOST,4,0.9582,1.0025,0.0443,0.9976,0.001225
173,OFRA_PP_2GT10,HOST,4,0.9676,1.0144,0.0468,1.0102,0.001050
174,OFRA_PP_4CX12,HOST,4,0.9453,0.9918,0.0465,0.9882,0.000900
175,OFRA_PP_6GT17,HOST,4,0.9643,1.0089,0.0446,1.0041,0.001200
176,OFRA_PP_6EV18,HOST,4,0.9690,1.0160,0.0470,1.0099,0.001525
177,OFRA_PS_8CX24,HOST,4,0.9514,1.0019,0.0505,0.9955,0.001600
178,OFRA_PP_8HS24,HOST,4,0.9505,0.9990,0.0485,0.9928,0.001550
179,OFRA_PP_9CX5_P1,HOST,4,0.9568,1.0010,0.0442,0.9972,0.000950
180,OFRA_PS_9GT30,HOST,4,0.9479,0.9913,0.0434,0.9880,0.000825
181,OFRA_PS_0CX4,SYM,1,0.9465,0.9647,0.0182,0.9622,0.002500
182,OFRA_PS_1GT43,SYM,1,0.9592,0.9763,0.0171,0.9737,0.002600
183,OFRA_PS_1GT42,SYM,1,0.9497,0.9633,0.0136,0.9621,0.001200
184,OFRA_PP_2HS27,SYM,1,0.9785,0.9931,0.0146,0.9924,0.000700
185,OFRA_PP_8HS21,SYM,1,0.9771,1.0000,0.0229,0.9971,0.002900
186,OFRA_PP_2GT3_P2,SYM,1,0.9736,0.9878,0.0142,0.9856,0.002200
187,OFRA_PP_2GT7_P1,SYM,1,0.9452,0.9581,0.0129,0.9571,0.001000
188,OFRA_PP_2GT38,SYM,1,0.9659,0.9776,0.0117,0.9760,0.001600
189,OFRA_PP_2CX12_P2,SYM,1,0.9429,0.9575,0.0146,0.9548,0.002700
190,OFRA_PP_2GT3_P1,SYM,1,0.9590,0.9698,0.0108,0.9686,0.001200
191,OFRA_PP_2HS17_P1,SYM,1,0.9603,0.9773,0.0170,0.9753,0.002000
192,OFRA_PS_2GT38,SYM,1,0.9451,0.9670,0.0219,0.9644,0.002600
193,OFRA_PP_2GT10,SYM,1,0.9544,0.9700,0.0156,0.9688,0.001200
194,OFRA_PP_4CX12,SYM,1,0.9722,0.9977,0.0255,0.9936,0.004100
195,OFRA_PP_6GT17,SYM,1,0.9562,0.9691,0.0129,0.9683,0.000800
196,OFRA_PP_6EV18,SYM,1,0.9564,0.9730,0.0166,0.9710,0.002000
197,OFRA_PS_8CX24,SYM,1,0.9353,0.9468,0.0115,0.9457,0.001100
198,OFRA_PP_8HS24,SYM,1,0.9573,0.9716,0.0143,0.9706,0.001000
199,OFRA_PP_9CX5_P1,SYM,1,0.9538,0.9661,0.0123,0.9642,0.001900
200,OFRA_PS_9GT30,SYM,1,0.9564,0.9687,0.0123,0.9685,0.000200
201,OFRA_PS_9CX6,HOST,4,0.9555,1.0089,0.0534,1.0016,0.001825
202,OFRA_PS_2CX13,HOST,4,0.9482,0.9946,0.0464,0.9900,0.001150
203,OFRA_PS_4HS15,HOST,4,0.9560,0.9992,0.0432,0.9952,0.001000
204,OFRA_PS_2CX8,HOST,4,0.9479,0.9917,0.0438,0.9874,0.001075
205,OFRA_PS_4HS13,HOST,4,0.9577,1.0046,0.0469,0.9986,0.001500
206,OFRA_PS_2GT10,HOST,4,0.9663,1.0151,0.0488,1.0083,0.001700
207,OFRA_PS_0GT3,HOST,4,0.9421,0.9878,0.0457,0.9830,0.001200
210,OFRA_PP_0GT1,HOST,4,0.9625,1.0091,0.0466,1.0046,0.001125
211,OFRA_PP_2HS11,HOST,4,0.9580,1.0032,0.0452,0.9988,0.001100
212,OFRA_PP_0CX5,HOST,4,0.9494,0.9956,0.0462,0.9903,0.001325
213,OFRA_PP_8HS23,HOST,4,0.9784,1.0233,0.0449,1.0176,0.001425
214,OFRA_PP_9GT30_P1,HOST,4,0.9458,0.9927,0.0469,0.9872,0.001375
215,OFRA_PP_1GT42_P2,HOST,4,0.9578,1.0046,0.0468,0.9992,0.001350
216,OFRA_PP_2GT41_P1,HOST,4,0.9543,1.0033,0.0490,0.9993,0.001000
217,OFRA_PP_2GT41_P2,HOST,4,0.9444,0.9908,0.0464,0.9846,0.001550
218,OFRA_PP_2HS9_P2,HOST,4,0.9525,0.9949,0.0424,0.9924,0.000625
219,OFRA_PP_2GT7_P2,HOST,4,0.9525,0.9993,0.0468,0.9936,0.001425
220,OFRA_PP_0GT5,HOST,4,0.9532,0.9982,0.0450,0.9955,0.000675
221,OFRA_PS_9CX6,SYM,1,0.9400,0.9548,0.0148,0.9523,0.002500
222,OFRA_PS_2CX13,SYM,1,0.9520,0.9694,0.0174,0.9671,0.002300
223,OFRA_PS_4HS15,SYM,1,0.9545,0.9673,0.0128,0.9662,0.001100
224,OFRA_PS_2CX8,SYM,1,0.9619,0.9744,0.0125,0.9725,0.001900
225,OFRA_PS_4HS13,SYM,1,0.9601,0.9723,0.0122,0.9716,0.000700
226,OFRA_PS_2GT10,SYM,1,0.9461,0.9596,0.0135,0.9582,0.001400
227,OFRA_PS_0GT3,SYM,1,0.9609,0.9738,0.0129,0.9720,0.001800
230,OFRA_PP_0GT1,SYM,1,0.9499,1.0013,0.0514,0.9988,0.002500
231,OFRA_PP_2HS11,SYM,1,0.9531,1.0066,0.0535,1.0043,0.002300
232,OFRA_PP_0CX5,SYM,1,0.9688,0.9693,0.0005,0.9664,0.002900
233,OFRA_PP_8HS23,SYM,1,0.9604,0.9664,0.0060,0.9646,0.001800
234,OFRA_PP_9GT30_P1,SYM,1,0.9402,0.9749,0.0347,0.9724,0.002500
235,OFRA_PP_1GT42_P2,SYM,1,0.9487,0.9791,0.0304,0.9779,0.001200
236,OFRA_PP_2GT41_P1,SYM,1,0.9527,0.9854,0.0327,0.9828,0.002600
237,OFRA_PP_2GT41_P2,SYM,1,0.9572,0.9844,0.0272,0.9825,0.001900
238,OFRA_PP_2HS9_P2,SYM,1,0.9522,0.9850,0.0328,0.9842,0.000800
239,OFRA_PP_2GT7_P2,SYM,1,0.9771,0.9723,-0.0048,0.9702,0.002100
240,OFRA_PP_0GT5,SYM,1,0.9586,0.9840,0.0254,0.9807,0.003300
241,OFRA_PP_9GT30_P2,HOST,4,0.9562,1.0020,0.0458,0.9968,0.001300
242,OFRA_PP_9CX5_P2,HOST,4,0.9771,1.0245,0.0474,1.0198,0.001175
243,OFRA_PP_0CX4,HOST,4,0.9573,1.0034,0.0461,0.9967,0.001675
244,OFRA_PP_8CX24,HOST,4,0.9529,0.9991,0.0462,0.9955,0.000900
245,OFRA_PP_4HS15,HOST,4,0.9399,0.9711,0.0312,0.9693,0.000450
246,OFRA_PS_6GT17,HOST,4,0.9533,0.9957,0.0424,0.9915,0.001050
247,OFRA_PS_1GT37,HOST,4,0.9671,1.0143,0.0472,1.0089,0.001350
248,OFRA_PS_2CX12,HOST,4,0.9494,0.9985,0.0491,0.9903,0.002050
249,OFRA_PS_9CX5,HOST,4,0.9533,1.0031,0.0498,0.9961,0.001750
250,OFRA_PS_6CX18,HOST,4,0.9517,0.9964,0.0447,0.9936,0.000700
251,OFRA_PS_2HS27,HOST,4,0.9527,1.0007,0.0480,0.9944,0.001575
252,OFRA_PS_0GT5_P2,HOST,4,0.9565,0.9989,0.0424,0.9955,0.000850
253,OFRA_PS_0GT5_P1,HOST,4,0.9614,1.0041,0.0427,1.0012,0.000725
254,OFRA_PS_2HS11,HOST,4,0.9639,1.0090,0.0451,1.0050,0.001000
255,OFRA_PS_2HS9,HOST,4,0.9574,1.0027,0.0453,0.9985,0.001050
256,OFRA_PS_8HS24,HOST,4,0.9543,0.9975,0.0432,0.9927,0.001200
257,OFRA_PS_2GT41,HOST,4,0.9454,0.9891,0.0437,0.9834,0.001425
258,OFRA_PS_2HS17,HOST,4,0.9610,1.0056,0.0446,1.0007,0.001225
259,OFRA_PS_6EV18,HOST,4,0.9567,1.0037,0.0470,0.9969,0.001700
260,OFRA_PS_2GT7,HOST,4,0.9539,1.0008,0.0469,0.9968,0.001000
261,OFRA_PP_9GT30_P2,SYM,1,0.9491,0.9617,0.0126,0.9604,0.001300
262,OFRA_PP_9CX5_P2,SYM,1,0.9602,0.9768,0.0166,0.9751,0.001700
